Simulation Frame;Aberta dos Morros;Agronomia;Anchieta;Arquipélago;Auxiliadora;Azenha;Bela Vista;Belém Novo;Belém Velho;Boa Vista;Boa Vista do Sul;Bom Fim;Bom Jesus;Camaquã;Campo Novo;Cascata;Cavalhada;Centro Histórico;Chácara das Pedras;Chapéu do Sol;Cidade Baixa;Cel. Aparício Borges;Costa e Silva;Cristal;Cristo Redentor;Espírito Santo;Extrema;Farrapos;Farroupilha;Floresta;Glória;Guarujá;Higienópolis;Hípica;Humaitá;Independência;Ipanema;Jardim Botânico;Jardim Carvalho;Jardim do Salso;Jardim Leopoldina;Jardim Europa;Jardim Floresta;Jardim Isabel;Jardim Itú;Jardim Lindóia;Jardim Sabará;Jardim São Pedro;Lageado;Lami;Lomba do Pinheiro;Mário Quintana;Medianeira;Menino Deus;Moinhos de Vento;Mont'Serrat;Morro Santana;Navegantes;Nonoai;Parque Santa Fé;Partenon;Passo D'Areia;Passo das Pedras;Pedra Redonda;Petrópolis;Pitinga;Ponta Grossa;Praia de Belas;Restinga;Rio Branco;Rubem Berta;Santa Cecília;Santa Maria Goretti;Santa Rosa de Lima;Santa Tereza;Santana;Santo Antônio;São Caetano;São Geraldo;São João;São Sebastião;Sarandi;Serraria;Sétimo Céu;Teresópolis;Três Figueiras;Tristeza;Vila Assunção;Vila Conceição;Vila Ipiranga;Vila Jardim;Vila João Pessoa;Vila Nova;São José
0;1;1;2;1;1;2;2;1;1;2;1;1;1;2;1;1;2;2;2;1;1;1;2;1;1;1;1;1;2;2;2;1;3;2;1;2;1;1;4;2;2;1;1;2;1;1;2;1;1;1;2;3;1;1;2;2;2;1;1;1;2;1;3;1;2;1;1;1;4;1;1;2;2;1;2;4;1;1;1;1;2;2;1;1;1;2;2;1;1;1;1;3;1;3
1;1;1;2;2;2;3;2;1;2;2;1;3;1;2;1;3;2;2;3;1;2;1;2;1;1;1;2;1;2;2;4;1;4;2;1;3;1;2;5;2;2;1;3;3;1;2;2;2;1;1;2;3;1;2;2;4;3;2;2;3;2;1;3;1;2;2;1;1;4;1;2;2;2;1;2;4;3;1;1;1;3;2;1;1;2;2;2;2;2;1;2;4;2;4
2;1;1;2;2;2;4;2;1;2;4;1;3;2;2;1;3;2;2;3;2;2;2;3;1;1;1;2;1;2;2;4;2;4;3;1;3;1;2;5;3;3;2;5;3;1;2;2;2;1;2;3;3;3;2;2;4;3;2;3;4;4;2;3;1;2;2;1;1;4;2;2;3;3;2;4;4;3;1;1;1;3;2;1;1;2;3;2;3;2;2;2;6;3;4
3;2;1;2;2;2;5;2;3;3;4;1;3;2;3;1;3;2;2;3;2;3;3;3;1;1;1;2;1;2;2;4;3;4;3;1;3;2;2;5;3;3;3;6;3;1;3;2;2;1;2;4;3;3;2;3;4;3;2;3;4;4;2;5;2;2;2;1;3;4;2;2;3;3;2;4;4;4;1;1;1;4;2;1;2;2;4;3;3;2;2;2;6;3;4
4;3;2;2;2;2;6;4;3;3;4;1;3;2;4;1;4;3;2;3;2;4;3;4;2;1;1;2;1;2;2;5;3;5;4;1;4;3;4;7;4;4;5;6;3;1;3;3;2;1;2;4;3;3;2;3;4;4;2;4;4;4;2;6;3;2;2;1;3;4;3;3;3;3;2;4;4;4;1;1;1;4;3;1;3;4;4;4;3;2;3;2;6;4;4
5;3;3;2;2;2;6;5;3;4;5;1;4;2;4;1;4;3;3;3;2;6;3;4;2;1;1;2;2;5;2;7;3;5;4;1;5;4;5;7;5;4;5;6;3;1;3;3;2;1;4;4;3;3;2;3;4;4;2;5;5;4;2;6;4;2;2;1;4;5;3;3;3;4;2;5;5;7;1;1;1;5;3;1;3;6;4;4;3;2;3;2;6;4;5
6;3;3;2;3;2;7;7;4;4;5;2;5;4;4;2;5;3;4;3;4;7;3;6;2;1;2;2;2;5;2;8;3;7;4;2;7;4;6;8;5;5;6;6;3;2;3;4;2;1;4;5;3;5;2;6;6;4;2;5;5;4;2;9;5;3;2;3;4;5;5;3;4;4;3;6;5;7;2;2;2;6;3;4;5;6;5;7;4;3;4;2;8;6;5
7;3;4;5;5;2;9;7;6;5;6;2;5;5;4;4;6;6;4;7;4;9;3;9;2;1;6;2;3;7;5;9;4;8;9;3;7;4;10;10;6;5;9;8;4;2;4;7;6;3;4;5;4;6;2;8;8;6;3;6;7;6;6;11;7;5;2;4;5;5;7;8;5;6;5;9;6;9;3;2;2;6;4;5;7;7;7;8;5;4;6;5;8;7;6
8;17;15;15;8;12;20;21;13;19;20;11;13;21;15;18;21;21;13;15;14;19;21;22;11;6;15;5;13;20;21;21;13;19;17;12;15;13;27;18;21;22;21;18;16;17;9;22;16;11;10;14;14;24;11;18;16;17;17;17;17;20;21;22;11;20;10;13;12;11;19;17;20;15;14;23;18;18;10;13;10;19;16;17;16;20;21;12;14;13;23;14;25;22;17
9;17;15;15;9;13;21;22;13;20;22;11;14;22;18;19;21;24;13;18;16;21;23;25;11;7;15;5;15;22;22;23;16;20;17;12;15;17;28;18;21;24;23;18;18;19;10;22;17;11;11;14;16;26;12;19;16;19;18;19;17;24;21;23;13;23;10;13;14;13;21;19;24;16;14;24;19;21;11;14;11;20;18;18;18;23;23;13;15;15;25;14;28;22;17
10;18;16;16;10;14;22;22;13;21;23;12;15;23;19;20;21;25;14;18;16;22;24;26;11;9;16;5;15;23;23;25;16;21;17;12;15;17;28;19;21;24;23;18;18;20;10;25;17;11;12;14;18;27;13;19;16;19;19;21;17;25;22;24;13;24;10;13;14;13;23;20;24;16;14;24;20;22;11;14;12;20;19;18;19;23;23;13;15;15;27;14;30;23;17
11;18;16;17;11;15;25;22;13;22;24;12;15;23;20;20;22;26;14;18;17;23;24;26;12;9;16;5;15;24;23;26;16;22;18;14;16;17;29;20;23;26;24;18;20;20;11;25;17;11;13;15;18;27;13;21;17;19;20;24;18;27;23;24;14;26;10;14;15;13;24;20;24;16;14;24;21;23;13;15;14;22;19;18;20;23;23;13;15;15;27;16;31;23;18
12;20;16;17;11;15;25;22;14;26;25;12;15;23;20;20;23;28;15;19;18;23;24;26;12;10;19;5;15;24;23;26;16;22;18;14;16;17;30;21;25;26;24;19;20;20;11;27;17;11;14;15;18;27;14;21;18;19;21;25;18;27;24;24;14;26;10;14;16;13;24;20;24;16;14;24;21;23;15;16;16;24;19;18;20;23;24;14;16;15;28;17;31;23;20
13;26;20;24;15;22;33;34;15;32;30;20;25;29;23;23;29;34;21;25;21;27;27;30;18;19;23;9;20;34;28;33;20;32;22;18;24;20;32;28;32;27;28;27;26;26;20;29;25;17;20;20;21;34;25;23;24;28;24;32;25;34;29;33;18;33;14;18;21;13;26;25;28;22;21;36;27;28;15;22;24;30;24;24;23;31;30;16;21;19;38;26;33;29;24
14;27;20;24;15;23;34;35;15;33;31;20;26;29;23;26;30;36;22;25;21;29;27;31;20;20;24;9;20;37;29;33;21;32;22;18;24;21;37;31;33;27;29;27;26;26;21;31;26;17;20;20;21;34;25;23;24;28;25;33;26;35;30;34;18;35;14;19;21;13;26;25;28;23;22;39;27;28;16;22;24;32;25;24;23;31;30;17;21;19;38;26;33;30;26
15;28;20;24;16;23;34;36;15;34;32;21;28;31;24;26;30;37;22;26;21;30;27;31;21;20;24;10;20;38;30;33;21;33;22;18;24;21;38;31;34;27;30;27;28;26;21;31;27;17;21;21;21;35;25;25;26;29;25;33;26;35;33;35;18;36;14;19;24;13;26;26;29;23;23;40;27;28;16;23;24;32;25;25;23;32;30;17;21;19;39;28;34;30;28
16;29;21;24;16;23;34;38;16;35;33;22;30;33;25;28;33;38;23;26;23;32;27;31;22;21;26;11;20;41;31;33;21;34;22;19;26;21;42;32;35;27;31;29;28;26;22;31;27;18;22;21;21;36;26;26;27;30;25;34;27;37;33;35;19;37;14;19;24;15;28;27;30;24;25;44;28;30;17;23;24;32;25;25;24;34;30;19;22;19;41;30;35;32;29
