distance;frequency
54.38444977016625;4
67.6711913324525;5
118.76968968051581;28
132.170951689056;6
155.57856093160635;9
165.48510473214907;5
167.12535480260303;6
170.23158712202425;5
193.0743953121895;5
203.50618957119514;5
226.29738967318727;4
236.49210755645424;3
236.78098182743886;15
242.80968349538472;22
252.46886129150403;5
253.33847915106136;8
264.6372626882736;2
273.80027523713966;3
274.10993288050344;4
278.4408515876943;15
281.19023188384847;6
285.86782904377156;13
286.0373895896952;25
286.3972317200989;11
292.4642280473222;4
297.10795071559056;8
306.19302480126635;3
307.0665645662336;5
313.33227870295195;9
317.0650092675266;26
318.5039903654181;3
320.5582298766957;17
323.54058219180524;14
329.3622353347565;14
338.523031800774;2
342.5665074640956;8
355.47418724798916;5
356.52843582604424;7
357.24013083207495;8
358.68820607875296;9
360.1502854199132;9
367.88922342652154;6
372.72770482646195;8
378.3971804696374;8
383.58902923441417;5
387.9505710125113;10
392.66527278834116;28
394.2682916829174;3
408.2924255753875;9
413.04231024815186;4
414.01179866799094;14
414.5560361211717;8
435.83928628924934;5
447.35057715468054;8
449.15426168310415;7
454.37692848050204;9
456.85717470618323;6
464.86157100677804;6
468.9151700247925;3
472.09681648799597;11
473.616145701286;10
481.64358932627607;17
489.0876204465355;5
490.7771528455276;2
494.4284729133704;10
496.3383005972912;25
510.3384966038188;7
513.5027185532115;4
521.7077744444127;10
534.0516985703906;8
534.2316596598412;5
535.8431299981296;7
537.3724781438957;20
537.9580808217597;11
540.7903425914983;8
547.4940793994418;5
547.8570806514699;20
548.8722118231051;4
560.508542286025;10
565.317650934867;7
565.719730811165;21
566.5707034972751;5
573.4382189550472;14
573.9018066550601;5
576.8156637049826;5
577.2119525060579;13
580.056317836532;30
581.0210750100288;5
582.4581748030581;3
586.9069951823255;12
594.6777355436724;4
597.6720365884369;11
600.6261788815568;9
607.0967520914733;5
613.4133333489757;9
617.0027599377388;2
624.0593468020853;8
631.1481632201825;6
631.2650865978716;7
632.2957647572209;4
