distance;frequency
54.38444977016625;1000
67.6711913324525;1000
118.76968968051581;7500
132.170951689056;1500
155.57856093160635;2000
165.48510473214907;1000
167.12535480260303;1500
170.23158712202425;1000
193.0743953121895;1000
203.50618957119514;1000
226.29738967318727;500
236.49210755645424;500
236.78098182743886;4000
242.80968349538472;7000
252.46886129150403;1000
253.33847915106136;2500
264.6372626882736;500
273.80027523713966;500
274.10993288050344;500
278.4408515876943;6000
281.19023188384847;1500
285.86782904377156;2500
286.0373895896952;8500
286.3972317200989;2500
292.4642280473222;1000
297.10795071559056;2500
306.19302480126635;500
307.0665645662336;1000
313.33227870295195;3000
317.0650092675266;9000
318.5039903654181;500
320.5582298766957;4000
323.54058219180524;5500
329.3622353347565;5500
338.523031800774;500
342.5665074640956;2500
355.47418724798916;1000
356.52843582604424;1500
357.24013083207495;2000
358.68820607875296;2500
360.1502854199132;1500
367.88922342652154;1128
372.72770482646195;2500
378.3971804696374;2500
383.58902923441417;1000
387.9505710125113;3000
392.66527278834116;8500
394.2682916829174;500
408.2924255753875;2000
413.04231024815186;500
414.01179866799094;3500
414.5560361211717;2000
435.83928628924934;500
447.35057715468054;2000
449.15426168310415;2000
454.37692848050204;3000
456.85717470618323;1500
464.86157100677804;1500
468.9151700247925;500
472.09681648799597;3872
473.616145701286;2500
481.64358932627607;4500
489.0876204465355;1000
490.7771528455276;500
494.4284729133704;3000
496.3383005972912;7500
510.3384966038188;1500
513.5027185532115;500
521.7077744444127;2500
534.0516985703906;1500
534.2316596598412;1000
535.8431299981296;1500
537.3724781438957;6000
537.9580808217597;4000
540.7903425914983;2000
547.4940793994418;1000
547.8570806514699;6500
548.8722118231051;500
560.508542286025;3500
565.317650934867;1500
565.719730811165;6000
566.5707034972751;1000
573.4382189550472;4000
573.9018066550601;1000
576.8156637049826;1000
577.2119525060579;5000
580.056317836532;9500
581.0210750100288;1500
582.4581748030581;500
586.9069951823255;3500
594.6777355436724;500
597.6720365884369;2500
600.6261788815568;2000
607.0967520914733;1000
613.4133333489757;3000
617.0027599377388;500
624.0593468020853;2500
631.1481632201825;1500
631.2650865978716;2000
632.2957647572209;500
645.1554882592332;4500
655.485109064238;4000
668.9186161316046;1000
675.9736416321449;2000
676.4671296720742;4000
676.9832457998143;500
679.994743250963;6500
686.02483611632;4000
691.1535265898922;2000
697.3629446419386;1500
699.4055045890783;500
700.4773058815118;1000
709.3471119276358;6000
717.4216033822665;1500
720.6901376420844;1000
722.5733787643225;3000
727.5968450792659;500
727.9496631008311;500
732.067545669309;7500
734.0204720462639;2000
734.5686478984763;1000
743.0104994888906;12500
748.2157927249881;500
753.0522233955323;4500
756.7703781106056;1000
759.4421921870453;500
768.7648660193317;500
777.252590669379;6000
780.3049346758851;3000
783.8250246515368;2000
787.2612120803881;1000
790.6406618606553;296
791.9089471891714;5000
794.635668423232;1500
796.8839096836657;500
798.5583922290476;1500
799.0682828584718;3500
801.6939206136202;500
805.3077896363426;1500
810.1504261590327;1000
812.1417803661041;500
825.9876045263734;2898
835.9154227222592;8000
838.7095894961005;500
839.0742950944151;5500
840.1243996118399;500
841.3390196029674;9000
845.3288665669049;500
848.0608245035115;1000
854.0422972283627;500
854.6515163581628;4000
855.6604743916876;1500
859.6242671519833;500
861.1764475178107;1500
863.5773255366478;2500
872.6820881254524;188
874.6541252160497;3776
875.8758334689347;500
876.3591208711124;2000
876.7839839846124;2000
877.2623289983851;500
877.6089419763101;18000
880.1648148215157;4500
885.3596195200489;4000
885.3724956695494;1000
886.9101751748909;500
888.4363006998092;1500
891.7688104759138;2500
894.634884380218;4000
904.1429620080678;2500
907.7291678603158;500
912.2432018888546;2000
915.1717425181414;1500
917.0640691441001;5500
919.1125589870928;2500
919.4353015458465;1500
931.2299420238927;500
935.161835379759;500
935.2653235051081;2500
935.8422879501527;3000
936.2379483620731;4500
937.5606122640584;6500
939.1380114010651;1500
940.2515689776598;500
942.8175649909793;5500
942.9032048210036;1500
944.5724297185781;2500
946.8513850642578;500
950.6145254274769;1000
951.5809912039266;1000
964.3536362336916;500
965.8594279901465;1000
968.1872455483287;4000
974.7192725573012;2000
974.765516392346;378
979.9868472496447;1000
989.9169013191595;4000
991.7649131125332;9394
991.9869058197245;500
992.550693583471;1500
996.4284368966516;1000
997.2079288187208;500
999.5818009174878;6000
1002.1552305448788;1500
1006.7949579531717;500
1009.2848328727594;2500
1010.1731799173043;500
1011.2719534300422;1500
1021.7296390149786;500
1022.3587429862484;2000
1025.2171969094857;1500
1027.6402132343746;8500
1030.4806657668794;2000
1035.493255670216;1000
1035.7973689969292;1000
1036.4874808047648;4500
1040.4446514647552;2000
1042.273590271282;1500
1043.0855714473946;500
1045.2797871960684;1000
1046.6288694827683;2000
1047.8381467505353;500
1052.915573068624;1500
1054.5279422603633;784
1058.8343494821956;2000
1058.9360254220067;500
1059.5725594797814;3000
1059.8180111522;1500
1061.8024203577927;3000
1065.6833814180823;1000
1073.6603347711955;1500
1073.7386454030259;2000
1078.103258460607;2000
1080.9025864983423;500
1083.8029910769012;500
1085.2994954956982;1000
1086.1344708752815;2000
1087.512482915628;1000
1089.2505936361097;500
1090.171744768749;500
1092.8281003758773;500
1098.8388908207319;2000
1099.225415470912;86
1105.9649889613033;3000
1106.9929784874166;1000
1108.3925041455363;1500
1110.4942878476359;500
1111.125352381068;1500
1113.5664120888039;1000
1115.3802146008377;500
1119.7504377975924;3000
1124.0783996607329;500
1131.3605366512404;1500
1131.436997551772;500
1132.0607822742672;3000
1136.5736085210856;1000
1138.4660126172023;500
1140.7425365784923;4500
1141.997901676946;1500
1144.0762112726818;1000
1146.3825927017083;7000
1149.2657449295714;1000
1153.5027364645562;480
1153.5746445453844;500
1157.6715700207337;500
1158.2409721437791;1000
1160.8614694850917;500
1164.551827342821;500
1165.0371534929268;500
1167.935589362736;1000
1168.3224425999722;500
1172.7289527886307;4500
1175.02560036969;1000
1175.189481897498;500
1176.3126764660972;500
1176.8677023589412;500
1179.1171894824856;500
1179.7949294959417;500
1183.060842817681;1500
1184.0412464970468;500
1184.9707931255034;500
1185.2342249454312;500
1186.2331078711802;500
1187.6234167519842;500
1188.0910787834662;250
1190.3677734210019;458
1198.8695261303792;500
1199.4760553977824;1000
1205.9839911408942;1000
1206.4177404841585;1000
1208.4440825131455;500
