Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Aberta dos Morros;7149;7149;0;0;0;0
0;0;0;Agronomia;2331;2331;0;0;0;0
0;0;0;Anchieta;2274;2024;250;250;0;250
0;0;0;Arquipélago;8080;8080;0;-250;-250;0
0;0;0;Auxiliadora;9683;9683;0;0;0;0
0;0;0;Azenha;14054;13804;250;250;0;250
0;0;0;Bela Vista;12037;11787;250;250;0;250
0;0;0;Belém Novo;10100;10100;0;0;0;0
0;0;0;Belém Velho;10585;10585;0;-250;-250;0
0;0;0;Boa Vista;10303;10053;250;250;0;250
0;0;0;Boa Vista do Sul;2309;2309;0;0;0;0
0;0;0;Bom Fim;11343;11343;0;-250;-250;0
0;0;0;Bom Jesus;28425;28425;0;-250;-250;0
0;0;0;Camaquã;18188;17938;250;250;0;250
0;0;0;Campo Novo;8766;8766;0;0;0;0
0;0;0;Cascata;12763;12763;0;-250;-250;0
0;0;0;Cavalhada;29299;29049;250;0;-250;250
0;0;0;Centro Histórico;39154;38904;250;0;-250;250
0;0;0;Chácara das Pedras;6918;6668;250;250;0;250
0;0;0;Chapéu do Sol;2913;2913;0;0;0;0
0;0;0;Cidade Baixa;15129;15129;0;-250;-250;0
0;0;0;Cel. Aparício Borges;19053;19053;0;-250;-250;0
0;0;0;Costa e Silva;16092;15842;250;250;0;250
0;0;0;Cristal;31196;31196;0;-750;-750;0
0;0;0;Cristo Redentor;16455;16455;0;0;0;0
0;0;0;Espírito Santo;5606;5606;0;0;0;0
0;0;0;Extrema;1981;1981;0;0;0;0
0;0;0;Farrapos;18986;18986;0;0;0;0
0;0;0;Farroupilha;1211;961;250;250;0;250
0;0;0;Floresta;11846;11596;250;250;0;250
0;0;0;Glória;16817;16817;0;-250;-250;0
0;0;0;Guarujá;4811;4811;0;0;0;0
0;0;0;Higienópolis;10974;10724;250;250;0;250
0;0;0;Hípica;18645;18645;0;0;0;0
0;0;0;Humaitá;11252;11252;0;-250;-250;0
0;0;0;Independência;7862;7612;250;-250;-500;250
0;0;0;Ipanema;13728;13728;0;0;0;0
0;0;0;Jardim Botânico;12521;12521;0;0;0;0
0;0;0;Jardim Carvalho;25886;25386;500;500;0;500
0;0;0;Jardim do Salso;4655;4405;250;250;0;250
0;0;0;Jardim Leopoldina;18016;17766;250;0;-250;250
0;0;0;Jardim Europa;2299;2299;0;0;0;0
0;0;0;Jardim Floresta;3307;3307;0;0;0;0
0;0;0;Jardim Isabel;3085;2835;250;250;0;250
0;0;0;Jardim Itú;17853;17853;0;0;0;0
0;0;0;Jardim Lindóia;7167;7167;0;-250;-250;0
0;0;0;Jardim Sabará;13280;13030;250;-250;-500;250
0;0;0;Jardim São Pedro;3967;3967;0;0;0;0
0;0;0;Lageado;4481;4481;0;0;0;0
0;0;0;Lami;4289;4289;0;0;0;0
0;0;0;Lomba do Pinheiro;57856;57856;0;-250;-250;0
0;0;0;Mário Quintana;38116;37866;250;0;-250;250
0;0;0;Medianeira;11223;11223;0;0;0;0
0;0;0;Menino Deus;30900;30900;0;-750;-750;0
0;0;0;Moinhos de Vento;12187;11937;250;250;0;250
0;0;0;Mont'Serrat;11236;11236;0;0;0;0
0;0;0;Morro Santana;19388;19388;0;0;0;0
0;0;0;Navegantes;4327;4327;0;0;0;0
0;0;0;Nonoai;24910;24910;0;-250;-250;0
0;0;0;Parque Santa Fé;6376;6376;0;0;0;0
0;0;0;Partenon;48160;47910;250;0;-250;250
0;0;0;Passo D'Areia;21218;21218;0;-750;-750;0
0;0;0;Passo das Pedras;16652;15902;750;750;0;750
0;0;0;Pedra Redonda;274;274;0;0;0;0
0;0;0;Petrópolis;37496;37246;250;0;-250;250
0;0;0;Pitinga;4352;4352;0;0;0;0
0;0;0;Ponta Grossa;8472;8472;0;-250;-250;0
0;0;0;Praia de Belas;2281;2281;0;0;0;0
0;0;0;Restinga;53758;53258;500;250;-250;500
0;0;0;Rio Branco;17531;17531;0;0;0;0
0;0;0;Rubem Berta;33168;33168;0;0;0;0
0;0;0;Santa Cecília;6018;5768;250;250;0;250
0;0;0;Santa Maria Goretti;3759;3509;250;250;0;250
0;0;0;Santa Rosa de Lima;35333;35333;0;0;0;0
0;0;0;Santa Tereza;39827;39577;250;250;0;250
0;0;0;Santana;21223;20473;750;500;-250;750
0;0;0;Santo Antônio;12911;12911;0;-250;-250;0
