Simulation Frame;Aberta dos Morros;Agronomia;Anchieta;Arquipélago;Auxiliadora;Azenha;Bela Vista;Belém Novo;Belém Velho;Boa Vista;Boa Vista do Sul;Bom Fim;Bom Jesus;Camaquã;Campo Novo;Cascata;Cavalhada;Centro;Chácara das Pedras;Chapéu do Sol;Cidade Baixa;Coronel Aparício Borges;Costa e Silva;Cristal;Cristo Redentor;Espírito Santo;Extrema;Farrapos;Farroupilha;Floresta;Glória;Guarujá;Higienópolis;Hípica;Humaitá;Independência;Ipanema;Jardim Botânico;Jardim Carvalho;Jardim do Salso;Jardim Dona Leopoldina;Jardim Europa;Jardim Floresta;Jardim Isabel;Jardim Itu;Jardim Lindóia;Jardim Sabará;Jardim São Pedro;Lageado;Lami;Lomba do Pinheiro;Mário Quintana;Medianeira;Menino Deus;Moinhos de Vento;MontSerrat;Morro Santana;Navegantes;Nonoai;Parque Santa Fé;Partenon;Passo DAreia;Passo das Pedras;Pedra Redonda;Petrópolis;Pitinga;Ponta Grossa;Praia de Belas;Restinga;Rio Branco;Rubem Berta;Santa Cecília;Santa Maria Goretti;Santa Rosa de Lima;Santa Tereza;Santana;Santo Antônio;São Caetano;São Geraldo;São João;São Sebastião;Sarandi;Serraria;Sétimo Céu;Teresópolis;Três Figueiras;Tristeza;Vila Assunção;Vila Conceição;Vila Ipiranga;Vila Jardim;Vila João Pessoa;Vila Nova;Vila São José
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;1;1;1;1;1;80;1;1;1;1;1;1;1;1;1;1;87;81;1;1;1;1;1;1;67;1;1;1;1;1;1;1;1;1;1;73;1;83;1;1;1;70;1;1;1;67;1;1;1;1;1;1;1;1;73;1;1;70;1;1;1;1;1;1;1;1;1;83;1;1;1;1;1;1;1;1;1;1;1;68;67;69;1;1;1;73;1;1;1;1;1;1;1;1
8;1;1;1;1;1;80;1;1;1;1;1;1;1;1;1;1;87;81;1;1;1;1;1;1;67;1;1;1;1;1;1;1;1;1;1;73;1;83;1;1;1;70;1;1;1;67;1;1;1;1;1;1;1;1;73;1;1;70;1;1;1;1;1;1;1;1;1;83;1;1;1;1;1;1;1;1;1;1;1;68;67;69;1;1;1;73;1;1;1;1;1;1;1;1
9;1;1;1;1;1;80;1;1;1;1;1;1;1;1;1;1;87;81;1;1;1;1;1;1;67;1;1;1;1;1;1;1;1;1;1;73;1;83;1;1;1;70;1;1;1;67;1;1;1;1;1;1;1;1;73;1;1;70;1;1;1;1;1;1;1;1;1;83;1;1;1;1;1;1;1;1;1;1;1;68;67;69;1;1;1;73;1;1;1;1;1;1;1;1
10;1;1;1;1;1;80;1;1;1;1;1;1;1;1;1;1;87;81;1;1;1;1;1;1;67;1;1;1;1;1;1;1;1;1;1;73;1;83;1;1;1;70;1;1;1;67;1;1;1;1;1;1;1;1;73;1;1;70;1;1;1;1;1;1;1;1;1;83;1;1;1;1;1;1;1;1;1;1;1;68;67;69;1;1;1;73;1;1;1;1;1;1;1;1
11;1;1;1;1;1;85;1;1;1;1;1;1;1;1;1;1;93;85;1;1;1;1;1;1;72;1;1;1;1;1;1;1;1;1;1;79;1;87;1;1;1;73;1;1;1;70;1;1;1;1;1;1;1;1;78;1;1;78;1;1;1;1;1;1;1;1;1;86;1;1;1;1;1;1;1;1;1;1;1;74;72;75;1;1;1;79;1;1;1;1;1;1;1;1
12;1;1;1;1;1;87;1;1;1;1;1;1;1;1;1;1;94;87;1;1;1;1;1;1;75;1;1;1;1;1;1;1;1;1;1;81;1;89;1;1;1;81;1;1;1;74;1;1;1;1;1;1;1;1;80;1;1;81;1;1;1;1;1;1;1;1;1;89;1;1;1;1;1;1;1;1;1;1;1;80;77;85;1;1;1;85;1;1;1;1;1;1;1;1
13;1;1;1;1;1;91;1;1;1;1;1;1;1;1;1;1;95;91;1;1;1;1;1;1;88;1;1;1;1;1;1;1;1;1;1;89;1;93;1;1;1;90;1;1;1;88;1;1;1;1;1;1;1;1;89;1;1;89;1;1;1;1;1;1;1;1;1;93;1;1;1;1;1;1;1;1;1;1;1;88;90;94;1;1;1;90;1;1;1;1;1;1;1;1
14;1;1;1;1;1;93;1;1;1;1;1;1;1;1;1;1;95;94;1;1;1;1;1;1;90;1;1;1;1;1;1;1;1;1;1;90;1;95;1;1;1;92;1;1;1;90;1;1;1;1;1;1;1;1;90;1;1;91;1;1;1;1;1;1;1;1;1;95;1;1;1;1;1;1;1;1;1;1;1;90;93;95;1;1;1;93;1;1;1;1;1;1;1;1
15;1;1;1;1;1;93;1;1;1;1;1;1;1;1;1;1;95;94;1;1;1;1;1;1;90;1;1;1;1;1;1;1;1;1;1;90;1;95;1;1;1;92;1;1;1;90;1;1;1;1;1;1;1;1;90;1;1;91;1;1;1;1;1;1;1;1;1;95;1;1;1;1;1;1;1;1;1;1;1;90;93;95;1;1;1;93;1;1;1;1;1;1;1;1
16;1;1;1;1;1;93;1;1;1;1;1;1;1;1;1;1;95;94;1;1;1;1;1;1;90;1;1;1;1;1;1;1;1;1;1;90;1;95;1;1;1;92;1;1;1;90;1;1;1;1;1;1;1;1;90;1;1;91;1;1;1;1;1;1;1;1;1;95;1;1;1;1;1;1;1;1;1;1;1;90;93;95;1;1;1;93;1;1;1;1;1;1;1;1
