Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1;1;1;1;1;1;1;1;1;1;1;1;1
5;1;1;1;1;1;1;1;1;1;1;1;1;1
6;1;1;1;1;1;1;1;1;1;1;1;1;1
7;14;1;14;1;1;1;14;1;14;14;1;1;1
8;14;1;14;1;1;1;14;1;14;14;1;1;1
9;14;1;14;1;1;1;14;1;14;14;1;1;1
10;14;1;14;1;1;1;14;1;14;14;1;1;1
11;14;1;14;1;1;1;14;1;14;14;1;1;1
12;14;1;14;1;1;1;14;1;14;14;1;1;1
13;14;1;14;1;1;1;14;1;14;14;1;1;1
14;14;1;14;1;1;1;14;1;14;14;1;1;1
15;14;1;14;1;1;1;14;1;14;14;1;1;1
16;14;1;14;1;1;1;14;1;14;14;1;1;1
17;14;1;14;1;1;1;14;1;14;14;1;1;1
18;14;1;14;1;1;1;14;1;14;14;1;1;1
19;14;1;14;1;1;1;14;1;14;14;1;1;1
20;14;1;14;1;1;1;14;1;14;14;1;1;1
21;14;1;14;1;1;1;14;1;14;14;1;1;1
22;1;1;1;1;1;1;1;1;1;1;1;1;1
23;1;1;1;1;1;1;1;1;1;1;1;1;1
24;1;1;1;1;1;1;1;1;1;1;1;1;1
25;1;1;1;1;1;1;1;1;1;1;1;1;1
26;1;1;1;1;1;1;1;1;1;1;1;1;1
27;1;1;1;1;1;1;1;1;1;1;1;1;1
28;1;1;1;1;1;1;1;1;1;1;1;1;1
29;1;1;1;1;1;1;1;1;1;1;1;1;1
30;1;1;1;1;1;1;1;1;1;1;1;1;1
31;14;1;14;1;1;1;14;1;14;14;1;1;1
32;14;1;14;1;1;1;14;1;14;14;1;1;1
33;14;1;14;1;1;1;14;1;14;14;1;1;1
34;14;1;14;1;1;1;14;1;14;14;1;1;1
35;14;1;14;1;1;1;14;1;14;14;1;1;1
36;14;1;14;1;1;1;14;1;14;14;1;1;1
37;14;1;14;1;1;1;14;1;14;14;1;1;1
38;14;1;14;1;1;1;14;1;14;14;1;1;1
39;14;1;14;1;1;1;14;1;14;14;1;1;1
40;14;1;14;1;1;1;14;1;14;14;1;1;1
41;14;1;14;1;1;1;14;1;14;14;1;1;1
42;14;1;14;1;1;1;14;1;14;14;1;1;1
43;14;1;14;1;1;1;14;1;14;14;1;1;1
