Simulation Frame;Blob Count
0;13
1;13
2;13
3;13
4;13
5;13
6;13
7;78
8;78
9;78
10;78
11;78
12;78
13;78
14;78
15;78
16;78
17;78
18;78
19;78
20;78
21;78
22;13
23;13
24;13
25;13
26;13
27;13
28;13
29;13
30;13
31;78
32;78
33;78
34;78
35;78
36;78
37;78
38;78
39;78
40;78
41;78
42;78
43;78
44;78
45;78
46;13
47;13
48;13
49;13
50;13
51;13
52;13
53;13
54;13
55;78
56;78
57;78
58;78
59;78
60;78
61;78
62;78
63;78
64;78
65;78
66;78
67;78
68;78
69;78
70;13
71;13
72;13
73;13
74;13
75;13
76;13
77;13
78;13
79;78
80;78
81;78
82;78
83;78
84;78
85;78
86;78
87;78
88;78
89;78
90;78
91;78
92;78
93;78
94;13
95;13
96;13
97;13
98;13
99;13
100;13
101;13
102;13
103;78
104;78
105;78
106;78
107;78
108;78
109;78
110;78
111;78
112;78
113;78
114;78
115;78
116;78
117;78
118;13
119;13
120;13
121;13
122;13
123;13
124;13
125;13
126;13
127;78
128;78
129;78
130;78
131;78
132;78
133;78
134;78
135;78
136;78
137;78
138;78
139;78
140;78
141;78
142;13
143;13
144;13
145;13
146;13
147;13
148;13
149;13
150;13
151;78
152;78
153;78
154;78
155;78
156;78
157;78
158;78
159;78
160;78
161;78
162;78
163;78
164;78
165;78
166;13
167;13
168;13
169;13
170;13
171;13
172;13
173;13
174;13
175;78
176;78
177;78
178;78
179;78
180;78
181;78
182;78
183;78
184;78
185;78
186;78
187;78
188;78
189;78
190;13
191;13
192;13
193;13
194;13
195;13
196;13
197;13
198;13
199;78
200;78
201;78
202;78
203;78
204;78
205;78
206;78
207;78
208;78
209;78
210;78
211;78
212;78
213;78
214;13
215;13
216;13
217;13
218;13
219;13
220;13
221;13
222;13
223;78
224;78
225;78
226;78
227;78
228;78
229;78
230;78
231;78
232;78
233;78
234;78
235;78
236;78
237;78
238;13
239;13
