Simulation Frame;Blob Count
0;182
1;182
2;182
3;182
4;182
5;182
6;182
7;182
8;182
9;182
10;182
11;182
12;182
13;182
14;182
15;182
16;182
17;182
18;182
19;182
20;182
21;182
22;182
23;13
24;182
25;182
26;182
27;182
28;182
29;182
30;182
31;182
32;182
33;182
34;182
35;182
36;182
37;182
38;182
39;182
40;182
41;182
42;182
43;182
44;182
45;182
46;182
47;13
48;182
49;182
50;182
51;182
52;182
53;182
54;182
55;182
56;182
57;182
58;182
59;182
60;182
61;182
62;182
63;182
64;182
65;182
66;182
67;182
68;182
69;182
70;182
71;13
72;182
73;182
74;182
75;182
76;182
77;182
78;182
79;182
80;182
81;182
82;182
83;182
84;182
85;182
86;182
87;182
88;182
89;182
90;182
91;182
92;182
93;182
94;182
95;13
96;182
97;182
98;182
99;182
100;182
101;182
102;182
103;182
104;182
105;182
106;182
107;182
108;182
109;182
110;182
111;182
112;182
113;182
114;182
115;182
116;182
117;182
118;182
119;13
120;182
121;182
122;182
123;182
124;182
125;182
126;182
127;182
128;182
129;182
130;182
131;182
132;182
133;182
134;182
135;182
136;182
137;182
138;182
139;182
140;182
141;182
142;182
143;13
144;182
145;182
146;182
147;182
148;182
149;182
150;182
151;182
152;182
153;182
154;182
155;182
156;182
157;182
158;182
159;182
160;182
161;182
162;182
163;182
164;182
165;182
166;182
167;13
168;182
169;182
170;182
171;182
172;182
173;182
174;182
175;182
176;182
177;182
178;182
179;182
180;182
181;182
182;182
183;182
184;182
185;182
186;182
187;182
188;182
189;182
190;182
191;13
192;182
193;182
194;182
195;182
196;182
197;182
198;182
199;182
200;182
201;182
202;182
203;182
204;182
205;182
206;182
207;182
208;182
209;182
210;182
211;182
212;182
213;182
214;182
215;13
216;182
217;182
218;182
219;182
220;182
221;182
222;182
223;182
224;182
225;182
226;182
227;182
228;182
229;182
230;182
231;182
232;182
233;182
234;182
235;182
236;182
237;182
238;182
239;13
