Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Azenha;13806;13672;134;2;-132;134
0;0;0;Bom Fim;11568;11414;154;-25;-179;154
0;0;0;Centro;39171;39048;123;17;-106;123
0;0;0;Cidade Baixa;15375;15236;139;-4;-143;139
0;0;0;Farroupilha;940;792;148;-21;-169;148
0;0;0;Floresta;11608;11476;132;12;-120;132
0;0;0;Independência;8094;7946;148;-18;-166;148
0;0;0;Menino Deus;31660;31531;129;10;-119;129
0;0;0;Moinhos de Vento;11949;11820;129;12;-117;129
0;0;0;Praia de Belas;2295;2174;121;14;-107;121
0;0;0;Rio Branco;17529;17387;142;-2;-144;142
0;0;0;Santa Cecília;5768;5631;137;0;-137;137
0;0;0;Santana;20726;20592;134;3;-131;134
1;1;0;Azenha;13806;13672;134;0;0;0
1;1;0;Bom Fim;11568;11414;154;0;0;0
1;1;0;Centro;39171;39048;123;0;0;0
1;1;0;Cidade Baixa;15375;15236;139;0;0;0
1;1;0;Farroupilha;940;792;148;0;0;0
1;1;0;Floresta;11608;11476;132;0;0;0
1;1;0;Independência;8094;7946;148;0;0;0
1;1;0;Menino Deus;31660;31531;129;0;0;0
1;1;0;Moinhos de Vento;11949;11820;129;0;0;0
1;1;0;Praia de Belas;2295;2174;121;0;0;0
1;1;0;Rio Branco;17529;17387;142;0;0;0
1;1;0;Santa Cecília;5768;5631;137;0;0;0
1;1;0;Santana;20726;20592;134;0;0;0
2;2;0;Azenha;13806;13672;134;0;0;0
2;2;0;Bom Fim;11568;11414;154;0;0;0
2;2;0;Centro;39171;39048;123;0;0;0
2;2;0;Cidade Baixa;15375;15236;139;0;0;0
2;2;0;Farroupilha;940;792;148;0;0;0
2;2;0;Floresta;11608;11476;132;0;0;0
2;2;0;Independência;8094;7946;148;0;0;0
2;2;0;Menino Deus;31660;31531;129;0;0;0
2;2;0;Moinhos de Vento;11949;11820;129;0;0;0
2;2;0;Praia de Belas;2295;2174;121;0;0;0
2;2;0;Rio Branco;17529;17387;142;0;0;0
2;2;0;Santa Cecília;5768;5631;137;0;0;0
2;2;0;Santana;20726;20592;134;0;0;0
3;3;0;Azenha;13806;13672;134;0;0;0
3;3;0;Bom Fim;11568;11414;154;0;0;0
3;3;0;Centro;39171;39048;123;0;0;0
3;3;0;Cidade Baixa;15375;15236;139;0;0;0
3;3;0;Farroupilha;940;792;148;0;0;0
3;3;0;Floresta;11608;11476;132;0;0;0
3;3;0;Independência;8094;7946;148;0;0;0
3;3;0;Menino Deus;31660;31531;129;0;0;0
3;3;0;Moinhos de Vento;11949;11820;129;0;0;0
3;3;0;Praia de Belas;2295;2174;121;0;0;0
3;3;0;Rio Branco;17529;17387;142;0;0;0
3;3;0;Santa Cecília;5768;5631;137;0;0;0
3;3;0;Santana;20726;20592;134;0;0;0
4;4;0;Azenha;13804;13536;268;-2;-136;134
4;4;0;Bom Fim;11540;11232;308;-28;-182;154
