Regions;Independência//hospital;Santa Cecília//marketplace;Menino Deus//work;Santana//school;Floresta//gas_station;Bom Fim//home;Cidade Baixa//marketplace;Santana//pharmacy;Farroupilha//marketplace;Farroupilha//gas_station;Independência//shopping_mall;Centro//gas_station;Moinhos de Vento//school;Centro//pharmacy;Moinhos de Vento//gas_station;Bom Fim//gas_station;Menino Deus//home;Independência//pharmacy;Santana//marketplace;Independência//school;Azenha//hospital;Moinhos de Vento//marketplace;Santa Cecília//gas_station;Independência//gas_station;Menino Deus//school;Menino Deus//pharmacy;Menino Deus//marketplace;Rio Branco//pharmacy;Moinhos de Vento//hospital;Centro//hospital;Moinhos de Vento//work;Cidade Baixa//work;Praia de Belas//stadium;Farroupilha//school;Bom Fim//pharmacy;Praia de Belas//school;Santa Cecília//work;Independência//work;Centro//marketplace;Cidade Baixa//pharmacy;Farroupilha//home;Independência//marketplace;Rio Branco//gas_station;Floresta//marketplace;Santa Cecília//home;Santana//home;Centro//school;Farroupilha//work;Bom Fim//school;Praia de Belas//gas_station;Rio Branco//work;Santa Cecília//pharmacy;Praia de Belas//home;Farroupilha//pharmacy;Praia de Belas//marketplace;Bom Fim//work;Menino Deus//hospital;Santana//hospital;Praia de Belas//work;Floresta//home;Cidade Baixa//gas_station;Moinhos de Vento//home;Azenha//school;Cidade Baixa//school;Floresta//school;Floresta//work;Farroupilha//hospital;Moinhos de Vento//pharmacy;Azenha//pharmacy;Floresta//pharmacy;Azenha//shopping_mall;Moinhos de Vento//shopping_mall;Centro//work;Santa Cecília//hospital;Santana//gas_station;Centro//home;Rio Branco//school;Independência//home;Centro//shopping_mall;Azenha//work;Rio Branco//home;Praia de Belas//pharmacy;Cidade Baixa//home;Azenha//home;Bom Fim//marketplace;Rio Branco//hospital;Azenha//marketplace;Menino Deus//gas_station;Praia de Belas//shopping_mall;Santana//work;Santa Cecília//school;Azenha//gas_station;Rio Branco//marketplace
Independência//hospital;0.0;0.013591673893621422;0.019080564431064363;0.013909857070601585;0.005129847376887391;0.00570480360097729;0.007864987596819256;0.015543861744593868;0.00279076236711473;0.004012455669051155;0.0029664876957091225;0.00969542815013476;0.007134303101265284;0.009391624139908107;0.010071227823946026;0.004657347334135063;0.0166978418627647;0.005704169721068827;0.016478050108937898;0.004216969392702961;0.017475380883041465;0.009180188917361502;0.015988048696486876;0.0007728502753360441;0.020603365064381637;0.0170766699508323;0.0169031946865946;0.012337720509129823;0.012639749645210854;0.007574023565424735;0.006404362767503965;0.009909957052005345;0.017138582029662414;0.006141798722909834;0.0009756346105499285;0.017677920959667744;0.010712993753076017;0.0018508894355933623;0.00767441335309624;0.008158002718830628;0.005154086538483293;0.0021746528806942064;0.011908577269516192;0.010276725994433758;0.013740283451639143;0.011190157769397378;0.011950092452658517;0.002661729930064084;0.003983234388060077;0.02023839576169916;0.008306761085832639;0.015851721754407595;0.021840992966857486;0.006756917071845521;0.01585206093446115;0.0013157361898963097;0.017596858623992247;0.014281326875812505;0.014919559690136433;0.010789792268831226;0.010117041678045875;0.01031914840543341;0.013697026310339732;0.008549596050411926;0.009844657046532278;0.009445270276160166;0.005627562639731109;0.011388152074976404;0.01744087124071694;0.009389184712790263;0.017497539000806448;0.0095162605143414;0.004922070419531274;0.017229988888661726;0.013156588497883603;0.008202239386157488;0.013980378679614821;0.0036223951842425123;0.008254048471758705;0.012583356019051901;0.011549458222318728;0.0150535727628637;0.01070965889639668;0.016128378911081948;0.00484091083441133;0.011063328233214896;0.013528987433394;0.018419852068067902;0.021754267432021187;0.010555589480953937;0.015666523631360268;0.015031466989966033;0.008286955030043468
Santa Cecília//marketplace;0.01181829981091693;0.0;0.012781611506835194;0.0056449065147739;0.013842217056137513;0.007141234856982431;0.012905727027286975;0.005188444875625301;0.011158483865328767;0.010859629163477907;0.013466733363445393;0.01803281874530041;0.012519823031527592;0.018721799772902295;0.01258011911662263;0.010125759042345401;0.012642691305719904;0.009380520704313042;0.0047296084914942174;0.008160401024782021;0.00870236695718878;0.013728931726593762;0.0024636312745451466;0.01146471438378363;0.015858404243308134;0.013845607752371437;0.011198711818324087;0.006241646229926283;0.012019007138351426;0.017804965486698833;0.010352239828558206;0.011983627259779056;0.01493702510464876;0.010903240937803576;0.011582985303955257;0.01648029490434284;0.0025066391339802494;0.010343614864135355;0.014247778332683172;0.014375877771843312;0.01035685577007169;0.010596720712071775;0.006064593385924294;0.017803987079951348;0.0008800904061797555;0.003855164776212635;0.018716024161523175;0.010586685394193102;0.010595421824903842;0.017446258929093114;0.007054341365814712;0.003583794534411295;0.019184518153293986;0.011277705337382952;0.01626760896222578;0.011058973943116173;0.014408454678568479;0.004666477326342705;0.0158245829575792;0.016552487441497576;0.014325643189085855;0.008057890364265552;0.008126321108077384;0.013345460276597486;0.017697603704321867;0.015317948837515773;0.009654926595355778;0.014820216219646186;0.008493485680845634;0.014404043210620436;0.008129971292361484;0.012063922303718822;0.015600012886964592;0.0031943427163058217;0.0016392093120431719;0.014244391878463767;0.00422709809248084;0.010163906146701332;0.014756610738343202;0.0062181437016419734;0.0037126090605841644;0.01580654886266807;0.013365775911144878;0.009380321938941932;0.0076262100054395095;0.0032522460791910945;0.006193094322108736;0.014215614136427225;0.021012502195388454;0.004049078418685165;0.0019634075450397216;0.008879946609543598;0.0065386097904839395
Menino Deus//work;0.01367178134573023;0.010532644896450264;0.0;0.005921061589707841;0.0171311363611239;0.01059416594901386;0.009444808294855108;0.006433812858797794;0.011790920321737387;0.010930376491264973;0.01579080078641992;0.01363328625546965;0.017493896368886184;0.015049010562301174;0.018674777624052872;0.014944477381971783;0.0021914057154591637;0.01490237748353181;0.007325407787432871;0.012115870563110883;0.003662390866359129;0.018937165100583523;0.009677730915346561;0.01312202449333719;0.0027757481513614795;0.0029080357526290596;0.0016018088328362495;0.01518121383291769;0.019182819876008988;0.015502541793697755;0.015919945114641346;0.007385798151284307;0.0040175974178045665;0.009547420587091774;0.013025353956203524;0.005389504075306642;0.010642115876312743;0.012517512838476793;0.010683004566628067;0.01045357842851913;0.010058343735131123;0.012117726441267261;0.014934153541295573;0.02092298245085585;0.009823342422959324;0.008169691181349135;0.012642594294971795;0.011767346137835604;0.01088531383370814;0.004841668025461002;0.014306792230684066;0.01333213161365551;0.0061024836230592445;0.009276400816959858;0.006534821853299227;0.013808757594014422;0.003060219609411843;0.00668935561927091;0.0067639226070237216;0.020822932121354665;0.008967604741670984;0.015884276991625153;0.004358045282447805;0.00928661277209764;0.02065208782889915;0.019750341973086977;0.009644525868752852;0.020324667518320325;0.0038653763127294463;0.019339054064231562;0.004276830335547866;0.018183302960784787;0.014555887355445083;0.011467527079365878;0.009215482449930793;0.010299140432298928;0.013968798743255236;0.014421870881112513;0.010752711854173187;0.005888178215256778;0.012965710526932192;0.006638695081654298;0.007711875320800462;0.002836282809617873;0.011532093135400547;0.012302868307124992;0.005590613129582871;0.0021730634394209795;0.008442501734487625;0.008423981831038466;0.011435139414849717;0.003432901258811677;0.01384564133101267
Santana//school;0.013007360789185927;0.006070734167319929;0.007727378962504096;0.0;0.01674496806777714;0.007878499687672498;0.01073999075996781;0.0019289988665002894;0.011176566067224985;0.010335216666144283;0.01551791110202311;0.016831369612861635;0.016427453491460447;0.018119884849351994;0.01745073608795212;0.013223950353272985;0.007592856748678719;0.012871991342925928;0.0033658339753683208;0.009819827614574499;0.0038472413779309786;0.018144673647237104;0.005530622518594972;0.01238399588041567;0.010983978611435909;0.00894184160677161;0.005972856873046994;0.012144665721678194;0.017689997820854845;0.017812862554795555;0.014169547025967002;0.008797986019497958;0.010224601037097684;0.009341750247548485;0.012374742376840338;0.011995961810984876;0.006281165714969897;0.011285034029213211;0.012470727348215698;0.012427045336030415;0.00934279471702872;0.011102788772809211;0.01184237257047699;0.02158048966845257;0.005174421847498832;0.0032430699952338536;0.01676364389105554;0.01081822635850883;0.0101333941720946;0.012780982853078134;0.011463302972594822;0.009840486210007505;0.014644747162839268;0.00942237948905029;0.012138579559613137;0.012714536066544923;0.00953358772083712;0.0012570429874909105;0.011828594118510227;0.020912530945522385;0.01156009634441587;0.013317387041965369;0.0028792570959251043;0.010978156386538908;0.02132476317528863;0.019503556640018314;0.008546588113736984;0.01975222943193939;0.003706159595244094;0.018766060011960656;0.003561731092971316;0.01682353331706165;0.0158350741188745;0.007926694320236937;0.004323019161800084;0.012240586241047985;0.010508895293298265;0.012790602157173871;0.012877857351933848;0.0015279777664161688;0.009241050636422627;0.011768376452779339;0.010134187618096657;0.004036324267681625;0.009020813216197262;0.008402498638268169;0.0007947102630952544;0.009239183966603828;0.016838374407201373;0.003741202822186469;0.007507708804288057;0.0034916314144033656;0.010842913983785913
Floresta//gas_station;0.004138604299521564;0.01284319445770946;0.019288646148489515;0.014446653784215027;0.0;0.007671821822577287;0.01044080231592507;0.015530306917664782;0.006386833736649251;0.007363713136705461;0.001987468269772783;0.010840132297431427;0.002732812443218709;0.010002127000008978;0.005233112761239215;0.00345992642413225;0.017485994412366354;0.004275434577498441;0.016050523301721544;0.0059746660154585095;0.017564180731663867;0.0039027232900712924;0.015039726831651294;0.004742490489290389;0.02068937203019626;0.01785705543663898;0.017502848227486482;0.009813053455732457;0.007785723662992152;0.008110233900727024;0.0037957966983453075;0.012131047551928509;0.017950885835700817;0.009083957993403988;0.004925700458502341;0.018400123213839777;0.01061596276839462;0.0052201969120530675;0.01010363253827517;0.01050921133110454;0.008251202526553283;0.0057655670997241405;0.009556278897487095;0.004270953737148032;0.013199169103203956;0.01189825464858538;0.013000392550385795;0.006205658677842239;0.007318346198878291;0.020462636060018306;0.0068385642248426385;0.01372740998616169;0.021759096361983695;0.009588308717003382;0.016909398789828355;0.003747889696565725;0.018289675965041496;0.014519418581615613;0.016153104356631767;0.004604331392258657;0.012213812859010624;0.007552443831051327;0.014716936201306714;0.010977658843736582;0.003988495835233437;0.0036047014295000506;0.008549764546605942;0.0055759641596054635;0.01750366418780154;0.0038289118744862793;0.017477753257632723;0.00498945648961717;0.006423970933946527;0.015545377883242112;0.012949641738974539;0.01057063576783594;0.011839723553259721;0.003491263278564011;0.010521980856117106;0.0135536758053037;0.010227076475497894;0.016264777356224995;0.012767475101717116;0.016700811262120037;0.006664265811198273;0.010146737698406126;0.014266990258312658;0.018914015080197147;0.021633122036735418;0.011389375563568681;0.01423126596614508;0.015821945541420815;0.007133953463560897
Bom Fim//home;0.006422261429231832;0.009245673263316994;0.016644860811215568;0.009484715003455267;0.010705238076826055;0.0;0.00877574522393221;0.011161119583991935;0.0052082095563720215;0.004995563875972545;0.009233839704974038;0.014441736857352826;0.01084075274880429;0.015090247083333917;0.012897676799846894;0.006836646500864371;0.014602417934675604;0.006840102215530499;0.01213963417289054;0.0024238400614606374;0.013807294857460729;0.013116820491746995;0.011700676959843307;0.005803949568727789;0.019241967998355036;0.015506085135860295;0.014128326509534581;0.010565512362290029;0.014389046388100415;0.013806881459633035;0.008424627269688472;0.00912258077940315;0.016140048544861726;0.005869007864533625;0.0058958017859565654;0.0174130228350039;0.006127764236839232;0.004361835128604586;0.01001227007959932;0.010327126582549197;0.004746917282322371;0.004510596236561969;0.010046186281869488;0.016593494116472124;0.009236731253231123;0.0061870209049678555;0.015859093970966718;0.004461102409343524;0.0046417278566698176;0.019774711686691857;0.007021046126480904;0.012575120625773761;0.021864020385288084;0.006591053061947872;0.016049185378370974;0.005855752501843441;0.01619941754453783;0.00973623008972823;0.015151582213467163;0.016112461957817993;0.011191344902858414;0.00984305218848383;0.009983160490038933;0.009523517367107147;0.016251624768718546;0.014418226198244592;0.00410786711423291;0.015351187435131279;0.013719749059856623;0.0137394026201487;0.0136871764380365;0.012127902010255407;0.01096043619147755;0.013380548428139852;0.008475017893086752;0.010217796237570046;0.011124194243049373;0.00608215114068983;0.01073534892132585;0.008211102085689719;0.008301548234575781;0.015225903479334989;0.010731113181615458;0.012737864427719056;0.0014774697482836886;0.00741105509961069;0.009203321789273479;0.01674249161983776;0.022857773710043258;0.005469378695752305;0.011721986515684379;0.011534254794866512;0.006490653342267128
Cidade Baixa//marketplace;0.007863133817138988;0.014838774750576525;0.013178224005484417;0.0114824619043915;0.012938443604828076;0.00779353245441102;0.0;0.013536147846085561;0.005208291666421171;0.004202597460852847;0.010573851814063603;0.006535311548963389;0.014859787693878253;0.008129921317662056;0.017566125759032318;0.011777494155331122;0.010292466006472307;0.012440280498656147;0.014986998667074048;0.008675245729652878;0.013550427615976296;0.016954480251257145;0.016156129425374335;0.007177158186435811;0.013671637731986975;0.010183268010394103;0.011325602958563037;0.017168337965700147;0.019673927301740408;0.008461404291091941;0.01357842394137528;0.002872922197924716;0.009825672126282929;0.0025837920991910643;0.006908247991936915;0.010008053446611986;0.012567889547368575;0.007149683466627258;0.0018906980576973644;0.0018055493176029624;0.003686434754587998;0.0062584666511995525;0.016706212540766954;0.017855516907860924;0.014433876547207264;0.010685367639820633;0.006695603989625793;0.0057146697298467;0.004416106912944769;0.01271244074893736;0.01375841500107068;0.018462175444887256;0.014160927043081296;0.0019580142903181967;0.008032051382055597;0.008754742211371942;0.01057504255207708;0.012511100086776498;0.007088465818057716;0.01863318539593809;0.0023279914538705307;0.016227963669708665;0.009567964639912064;0.0007202509817961553;0.017365465420001742;0.017305411445430036;0.004146072606631183;0.019155034413103497;0.013641404259599036;0.01722064997100432;0.013948714160295028;0.016944801813325375;0.007271550578759247;0.018280796361963978;0.013473873668531621;0.0016128287678395528;0.01753026902260523;0.010717147437888031;0.002286375311664832;0.009849003247520355;0.015071306314910368;0.007233853548802884;0.0029754130073255955;0.011479902673515284;0.008392596329368805;0.014208005819253727;0.010735010079503173;0.01165950791538573;0.013886034960324556;0.01027858507059292;0.01708296330684625;0.010521018427669906;0.013391021034502426
Santana//pharmacy;0.013300219993035729;0.005105697137096926;0.0076830637664464995;0.0017650838978749918;0.01647139863203741;0.00848321313221044;0.011585035377682368;0.0;0.011770921240234104;0.011057637009225907;0.015499758626775868;0.01715125514843232;0.015917619929139704;0.01830278072628343;0.016594729520620334;0.013091423313847399;0.008094872394752074;0.01265387883531637;0.0013682358200354805;0.010169202289949296;0.003477742263801954;0.01739544690078254;0.0038875897504973464;0.012760653643113755;0.010878073461681476;0.009387181318175324;0.006373417567448922;0.011110872447558044;0.01652340068638574;0.017963590241201075;0.013801032945912896;0.009809377059331206;0.010653466146835301;0.01024890069698152;0.012774313416961005;0.01233518354910079;0.006052482484624768;0.011716531111164703;0.013163020580544919;0.013129554117842283;0.010188677943662072;0.011621866481962418;0.010883236113727223;0.020808718027318474;0.004239870833250241;0.003852529364783743;0.017103622716616092;0.011398827729985664;0.010858821830491989;0.012805838186531042;0.011036569691062027;0.008272535510637516;0.014487349038007408;0.010349438009098735;0.012638493130420207;0.01293341716258882;0.009901167831453953;0.00108303718558249;0.012409335032882036;0.0200235249573775;0.01233782738595862;0.012520265672540248;0.00415085749661953;0.011809085015098456;0.020605764493183916;0.01874516185338808;0.009450385936998661;0.01875293362512865;0.0032632735811398265;0.017998508490639366;0.0028946643898663488;0.01603679283034942;0.016099376782261646;0.006062040061299934;0.0037034020732868785;0.012959885869394087;0.009264082710338675;0.012793509821274605;0.013541725227674254;0.003158316553401181;0.008482401157184266;0.01234316187834775;0.011018814197275423;0.00452493626671183;0.009454505534535947;0.007805869086214117;0.002455630459393096;0.009461928171395696;0.016707005314477507;0.004392160568086034;0.005978125364456781;0.004352019663162785;0.010470848510534043
Farroupilha//marketplace;0.003004607397097584;0.013816180765126041;0.01771653115578018;0.012867872370084426;0.008523167519007396;0.004980879572490725;0.00560870433270284;0.014810694649514095;0.0;0.0013266481413385036;0.006155253780894342;0.009134490836881582;0.010393651396476945;0.009504028766733046;0.01334391315980479;0.007156770427316999;0.015054191273114435;0.00800000044496081;0.016009614079362692;0.004594551042161157;0.016397882777194953;0.01265179620751799;0.016053237220324906;0.0021959656424988742;0.019211866791460107;0.015408510086869099;0.015409100507250292;0.014125419729995037;0.015775775385058262;0.008233262219287812;0.009109998547191842;0.007665842155266648;0.015448721785190083;0.003609613945050813;0.001957120451586121;0.016040611082510363;0.010837208622024438;0.0021799376481266572;0.005797404445624941;0.006264449864261807;0.002610167163704688;0.0012219451733301951;0.013634175941272858;0.014056063157887488;0.013757743431169447;0.010425908255787902;0.011003492119965774;0.0008038790863037896;0.0013615883122458752;0.018785254524090855;0.01001577701223981;0.016909669456705856;0.020520072901718325;0.004272439809736965;0.014117601687566457;0.0038212378916113493;0.0159590622111151;0.01348244641740698;0.013122422181785946;0.014588536236342289;0.008094039339467432;0.012523230710738678;0.012188173816412733;0.006371216391880285;0.013579822140596703;0.013110518382312922;0.0032759765992833884;0.015019884706467769;0.016392077379923924;0.012955733013198495;0.01651983071459001;0.012689501665461678;0.005574900139218596;0.017767908066290805;0.012957181804797983;0.006261598165598079;0.01528250092401004;0.005997077696547532;0.00648120063824043;0.011295999158542076;0.012570509957827672;0.013259815166131318;0.00857558379621961;0.014750155334344605;0.004755477054711783;0.011839286265798285;0.01233825030899629;0.016873347163592567;0.020523710121150247;0.009781786384093211;0.01619103926061332;0.01357616645963413;0.009781542076179685
Farroupilha//gas_station;0.004406480941226307;0.01371559292171238;0.01675262563941205;0.012137652941112733;0.01002372284805834;0.0048732521447746825;0.004616382840374909;0.01419201554885033;0.0013532328368892372;0.0;0.00763113778932276;0.009215535138387748;0.011786515521643727;0.0099299710904894;0.014689173902197592;0.008322723134241967;0.01400980708559755;0.0090609784486323;0.015497353082991775;0.005124024063733319;0.01557530474710815;0.014103414020108044;0.01581008806280576;0.0035702568240817876;0.018243643929672187;0.014364094717264075;0.014413780248077707;0.014777063397481464;0.01701194783773757;0.008973379775317654;0.010299092072663241;0.006495434215040239;0.014416187738949867;0.0023416525941786295;0.0033432885558260595;0.015057300872050814;0.010788843465211981;0.0032561762800371354;0.005183328077506418;0.005594452222682699;0.0013398198888694111;0.0022994837080825927;0.01427027599695823;0.01568745477806489;0.013553476115796204;0.0099217952103213;0.010758592312573128;0.0016840569505914098;0.000345482807995876;0.017831952217555628;0.010758969403547066;0.017138452475375945;0.01962114874509869;0.0030472082739673224;0.013147363217540719;0.005126437851969315;0.014926603016288158;0.012863120069717833;0.012142733351785942;0.01618273049037602;0.007173558821110196;0.013408872251956382;0.01123360625130812;0.005406890757522741;0.015203884674022889;0.014656969614859006;0.0021418188751774724;0.016507372736331564;0.015583325991775586;0.014449643259028925;0.015743059323969202;0.014001744962992153;0.006470873184204518;0.017719146807603038;0.012665798333542123;0.005548320040129757;0.015672163442676957;0.007162977539058285;0.005900088582273231;0.010477838227091663;0.012904716972053558;0.012275627309794054;0.0075011776402665485;0.01381324663712149;0.005036419777134693;0.012079392160111573;0.011543680520393096;0.0158591089910586;0.019721279162497152;0.00929822803886811;0.01617480272143901;0.012622131160565202;0.010438170776136848
