Simulation Frame;Blob Count
0;42
1;43
2;42
3;39
4;49
5;57
6;63
7;79
8;96
9;92
10;95
11;91
12;94
13;97
14;108
15;120
16;129
17;131
18;125
19;124
20;123
21;122
22;123
23;13
24;42
25;43
26;42
27;39
28;50
29;55
30;63
31;80
32;99
33;92
34;92
35;90
36;96
37;96
38;109
39;121
40;128
41;131
42;125
43;127
44;124
45;124
46;125
47;13
48;42
49;43
50;42
51;39
52;49
53;56
54;63
55;81
56;93
57;95
58;100
59;98
60;96
61;99
62;111
63;122
64;130
65;133
66;133
67;132
68;129
69;125
70;125
71;13
72;42
73;43
74;42
75;39
76;51
77;57
78;63
79;79
80;101
81;93
82;92
83;89
84;92
85;97
86;112
87;124
88;127
89;130
90;119
91;120
92;118
93;118
94;119
95;13
96;42
97;43
98;42
99;39
100;52
101;59
102;65
103;80
104;98
105;91
106;99
107;94
108;92
109;99
110;109
111;121
112;129
113;130
114;128
115;128
116;125
117;121
118;121
119;13
120;42
121;43
122;42
123;39
124;52
125;52
126;60
127;78
128;98
129;91
130;94
131;90
132;96
133;98
134;109
135;122
136;128
137;131
138;131
139;130
140;129
141;129
142;130
143;13
144;42
145;43
146;42
147;39
148;50
149;53
150;61
151;76
152;97
153;91
154;91
155;90
156;89
157;97
158;108
159;119
160;127
161;129
162;122
163;122
164;119
165;119
166;120
167;13
168;42
169;43
170;42
171;39
172;51
173;54
174;61
175;80
176;103
177;94
178;95
179;89
180;91
181;97
182;112
183;123
184;129
185;131
186;126
187;128
188;127
189;127
190;128
191;13
192;42
193;43
194;42
195;39
196;51
197;57
198;66
199;78
200;99
201;90
202;92
203;90
204;94
205;98
206;109
207;120
208;128
209;129
210;123
211;124
212;123
213;123
214;124
215;13
216;42
217;43
218;42
219;39
220;50
221;56
222;65
223;80
224;104
225;94
226;93
227;93
228;97
229;96
230;109
231;121
232;129
233;132
234;126
235;127
236;126
237;126
238;127
239;13
