Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;3;3;3;4;3;4;3;3;3;3;3;4;3
1;3;4;3;4;3;4;3;3;3;3;3;4;3
2;3;3;3;4;3;4;3;3;3;3;3;4;3
3;2;3;3;2;3;4;3;3;3;3;3;4;3
4;3;4;5;4;4;4;4;4;3;3;4;4;3
5;4;4;6;4;4;4;5;5;3;3;5;4;6
6;4;5;6;6;3;5;5;5;4;3;7;3;7
7;4;6;14;8;1;5;5;8;5;3;8;4;8
8;5;9;14;9;1;4;7;14;7;3;8;5;10
9;5;7;14;7;1;5;6;14;6;3;8;5;11
10;8;6;14;8;1;5;5;14;6;4;9;5;10
11;6;7;14;8;1;5;5;14;4;4;8;5;10
12;7;10;14;5;1;5;5;14;6;3;8;5;11
13;8;7;14;8;1;5;5;14;6;4;9;5;11
14;9;7;14;13;1;6;5;14;6;4;12;5;12
15;8;11;14;13;1;8;7;14;8;4;13;5;14
16;13;11;14;14;1;8;7;14;11;4;13;5;14
17;13;12;14;14;1;11;7;14;9;4;13;5;14
18;13;6;14;14;1;11;7;14;9;4;13;5;14
19;13;8;14;14;1;11;7;14;6;4;13;5;14
20;13;8;14;14;1;11;7;14;6;3;13;5;14
21;13;8;14;14;1;11;7;14;5;3;13;5;14
22;13;8;14;14;2;11;7;14;5;3;13;5;14
23;1;1;1;1;1;1;1;1;1;1;1;1;1
24;3;3;3;4;3;4;3;3;3;3;3;4;3
25;3;4;3;4;3;4;3;3;3;3;3;4;3
26;3;3;3;4;3;4;3;3;3;3;3;4;3
27;2;3;3;2;3;4;3;3;3;3;3;4;3
28;3;4;5;4;4;4;4;4;4;3;4;4;3
29;3;4;6;4;4;4;5;5;4;3;5;4;4
30;3;5;6;6;3;5;5;5;5;3;8;3;6
31;5;6;14;9;1;5;5;8;5;3;8;4;7
32;7;9;14;6;1;7;7;14;8;3;8;5;10
33;6;8;14;7;1;4;6;14;6;3;8;5;10
34;4;7;14;8;1;5;5;14;6;4;9;5;10
35;4;7;14;8;1;5;5;14;6;4;7;5;10
36;7;10;14;8;1;4;6;14;6;3;8;5;10
37;8;7;14;8;1;4;6;14;6;4;9;5;10
38;9;7;14;13;1;6;6;14;6;4;12;5;12
39;9;11;14;13;1;8;7;14;9;4;12;5;14
40;13;11;14;14;1;8;7;14;11;4;12;5;14
41;13;12;14;14;1;10;7;14;11;4;12;5;14
42;13;6;14;14;1;10;7;14;11;4;12;5;14
43;13;8;14;14;1;10;7;14;11;4;12;5;14
44;13;6;14;14;1;10;7;14;11;3;12;5;14
45;13;6;14;14;1;10;7;14;11;3;12;5;14
46;13;6;14;14;2;10;7;14;11;3;12;5;14
47;1;1;1;1;1;1;1;1;1;1;1;1;1
48;3;3;3;4;3;4;3;3;3;3;3;4;3
49;3;4;3;4;3;4;3;3;3;3;3;4;3
50;3;3;3;4;3;4;3;3;3;3;3;4;3
51;2;3;3;2;3;4;3;3;3;3;3;4;3
52;3;4;5;4;4;4;4;4;3;3;4;4;3
53;4;4;6;4;4;4;4;5;3;3;5;4;6
54;4;6;6;6;3;4;4;5;4;3;8;3;7
55;4;8;14;8;1;5;6;7;5;3;8;4;8
56;4;10;14;7;1;4;6;14;7;3;8;5;10
57;4;10;14;9;1;5;6;14;6;3;8;5;10
58;8;10;14;8;1;5;6;14;6;4;9;5;10
59;6;10;14;8;1;5;6;14;5;4;10;5;10
60;7;9;14;7;1;5;6;14;5;3;10;5;10
61;8;7;14;8;1;5;7;14;6;4;10;5;10
62;10;7;14;13;1;6;7;14;6;4;12;5;12
63;8;11;14;13;1;8;9;14;9;4;12;5;14
64;13;11;14;14;1;8;9;14;11;4;12;5;14
65;10;12;14;14;1;11;9;14;11;5;13;5;14
66;11;12;14;14;1;11;9;14;11;4;13;5;14
67;10;12;14;14;1;11;9;14;11;4;13;5;14
68;8;12;14;14;1;11;9;14;11;3;13;5;14
69;4;12;14;14;1;11;9;14;11;3;13;5;14
70;3;12;14;14;2;11;9;14;11;3;13;5;14
71;1;1;1;1;1;1;1;1;1;1;1;1;1
72;3;3;3;4;3;4;3;3;3;3;3;4;3
73;3;4;3;4;3;4;3;3;3;3;3;4;3
74;3;3;3;4;3;4;3;3;3;3;3;4;3
