Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Azenha;13803;13802;1;-1;-2;1
0;0;0;Bom Fim;11589;11587;2;-4;-6;2
0;0;0;Centro;39155;39154;1;1;0;1
0;0;0;Cidade Baixa;15380;15378;2;1;-1;2
0;0;0;Farroupilha;961;959;2;0;-2;2
0;0;0;Floresta;11596;11594;2;0;-2;2
0;0;0;Independência;8112;8110;2;0;-2;2
0;0;0;Menino Deus;31649;31647;2;-1;-3;2
0;0;0;Moinhos de Vento;11938;11936;2;1;-1;2
0;0;0;Praia de Belas;2282;2280;2;1;-1;2
0;0;0;Rio Branco;17532;17530;2;1;-1;2
0;0;0;Santa Cecília;5768;5766;2;0;-2;2
0;0;0;Santana;20724;20722;2;1;-1;2
1;1;0;Azenha;13801;13800;1;-2;-2;0
1;1;0;Bom Fim;11589;11587;2;0;0;0
1;1;0;Centro;39155;39154;1;0;0;0
1;1;0;Cidade Baixa;15380;15378;2;0;0;0
1;1;0;Farroupilha;961;959;2;0;0;0
1;1;0;Floresta;11596;11594;2;0;0;0
1;1;0;Independência;8112;8110;2;0;0;0
1;1;0;Menino Deus;31651;31647;4;2;0;2
1;1;0;Moinhos de Vento;11938;11936;2;0;0;0
1;1;0;Praia de Belas;2282;2280;2;0;0;0
1;1;0;Rio Branco;17532;17530;2;0;0;0
1;1;0;Santa Cecília;5768;5766;2;0;0;0
1;1;0;Santana;20724;20722;2;0;0;0
2;2;0;Azenha;13803;13802;1;2;2;0
2;2;0;Bom Fim;11587;11586;1;-2;-1;-1
2;2;0;Centro;39157;39154;3;2;0;2
2;2;0;Cidade Baixa;15378;15376;2;-2;-2;0
2;2;0;Farroupilha;962;960;2;1;1;0
2;2;0;Floresta;11596;11594;2;0;0;0
2;2;0;Independência;8112;8110;2;0;0;0
2;2;0;Menino Deus;31649;31647;2;-2;0;-2
2;2;0;Moinhos de Vento;11938;11936;2;0;0;0
2;2;0;Praia de Belas;2282;2280;2;0;0;0
2;2;0;Rio Branco;17533;17530;3;1;0;1
2;2;0;Santa Cecília;5767;5765;2;-1;-1;0
2;2;0;Santana;20725;20722;3;1;0;1
3;3;0;Azenha;13803;13803;0;0;1;-1
3;3;0;Bom Fim;11589;11588;1;2;2;0
3;3;0;Centro;39156;39154;2;-1;0;-1
3;3;0;Cidade Baixa;15377;15377;0;-1;1;-2
3;3;0;Farroupilha;963;961;2;1;1;0
3;3;0;Floresta;11597;11595;2;1;1;0
3;3;0;Independência;8112;8110;2;0;0;0
3;3;0;Menino Deus;31649;31648;1;0;1;-1
3;3;0;Moinhos de Vento;11937;11936;1;-1;0;-1
3;3;0;Praia de Belas;2283;2281;2;1;1;0
3;3;0;Rio Branco;17531;17530;1;-2;0;-2
3;3;0;Santa Cecília;5768;5766;2;1;1;0
3;3;0;Santana;20724;20722;2;-1;0;-1
4;4;0;Azenha;13803;13800;3;0;-3;3
4;4;0;Bom Fim;11587;11582;5;-2;-6;4
4;4;0;Centro;39160;39154;6;4;0;4
4;4;0;Cidade Baixa;15378;15375;3;1;-2;3
4;4;0;Farroupilha;959;955;4;-4;-6;2
4;4;0;Floresta;11595;11591;4;-2;-4;2
4;4;0;Independência;8109;8104;5;-3;-6;3
4;4;0;Menino Deus;31650;31645;5;1;-3;4
4;4;0;Moinhos de Vento;11940;11936;4;3;0;3
4;4;0;Praia de Belas;2282;2280;2;-1;-1;0
4;4;0;Rio Branco;17534;17530;4;3;0;3
4;4;0;Santa Cecília;5769;5766;3;1;0;1
4;4;0;Santana;20723;20721;2;-1;-1;0
5;5;0;Azenha;13808;13801;7;5;1;4
5;5;0;Bom Fim;11584;11581;3;-3;-1;-2
5;5;0;Centro;39163;39154;9;3;0;3
5;5;0;Cidade Baixa;15376;15372;4;-2;-3;1
5;5;0;Farroupilha;958;954;4;-1;-1;0
5;5;0;Floresta;11597;11592;5;2;1;1
5;5;0;Independência;8110;8105;5;1;1;0
5;5;0;Menino Deus;31648;31642;6;-2;-3;1
5;5;0;Moinhos de Vento;11939;11936;3;-1;0;-1
5;5;0;Praia de Belas;2279;2277;2;-3;-3;0
5;5;0;Rio Branco;17535;17530;5;1;0;1
5;5;0;Santa Cecília;5769;5765;4;0;-1;1
5;5;0;Santana;20723;20718;5;0;-3;3
6;6;0;Azenha;13813;13800;13;5;-1;6
6;6;0;Bom Fim;11590;11584;6;6;3;3
6;6;0;Centro;39165;39152;13;2;-2;4
6;6;0;Cidade Baixa;15377;15371;6;1;-1;2
6;6;0;Farroupilha;952;951;1;-6;-3;-3
6;6;0;Floresta;11598;11592;6;1;0;1
6;6;0;Independência;8104;8099;5;-6;-6;0
6;6;0;Menino Deus;31647;31637;10;-1;-5;4
6;6;0;Moinhos de Vento;11938;11933;5;-1;-3;2
6;6;0;Praia de Belas;2276;2275;1;-3;-2;-1
6;6;0;Rio Branco;17536;17527;9;1;-3;4
6;6;0;Santa Cecília;5765;5764;1;-4;-1;-3
6;6;0;Santana;20728;20720;8;5;2;3
7;7;0;Azenha;13815;13794;21;2;-6;8
7;7;0;Bom Fim;11582;11577;5;-8;-7;-1
7;7;0;Centro;39189;39152;37;24;0;24
7;7;0;Cidade Baixa;15383;15370;13;6;-1;7
7;7;0;Farroupilha;950;950;0;-2;-1;-1
7;7;0;Floresta;11599;11587;12;1;-5;6
