Regions;Independência;Moinhos de Vento;Praia de Belas;Cidade Baixa;Menino Deus;Rio Branco;Azenha;Bom Fim;Centro;Farroupilha;Floresta;Santa Cecília;Santana
Independência;0.0;0.059449770319501834;0.14998812153207425;0.07616325978280529;0.14854061998267937;0.06295489691177487;0.1184238773640379;0.02034333688178959;0.07530626014402887;0.044570880969266;0.055781516387795674;0.08821467325760603;0.10026278646664047
Moinhos de Vento;0.04386787815115164;0.0;0.15057070943245632;0.09671552015717318;0.14290342843094098;0.03951134032163748;0.11363233649053023;0.05044089324227446;0.09895191676463506;0.06913968700960302;0.0351421288372508;0.06893720554826076;0.09018695561408617
Praia de Belas;0.09581435559372277;0.13035202020919068;0.0;0.04717673573895666;0.030953860528312078;0.10972792816837858;0.05521312614879726;0.08687224290136027;0.06683609000307174;0.07052070220656595;0.12990996880453312;0.09810533296213762;0.07851763673497339
Cidade Baixa;0.07593101299240326;0.13066924890538875;0.0736254294530401;0.0;0.07913704214947702;0.10521139020058634;0.06968968706732236;0.06252340475415201;0.05335385725402531;0.038557484899050413;0.1298342649472063;0.0994317258140371;0.08203545156331107
Menino Deus;0.10244784503646098;0.13356842228154092;0.03341940394076315;0.05474743024909637;0.0;0.10453872016146375;0.03343171941402249;0.08992233791517522;0.08782304674900754;0.07183955725352753;0.14091510726656184;0.08572303452004608;0.061623375212334304
Rio Branco;0.056883863063204324;0.048382118410887055;0.15520404191803996;0.09535613812282835;0.13695539622147795;0.0;0.09682749680013558;0.0489242680557643;0.1173104181616099;0.06133054713592064;0.0825791744001729;0.03606020868705007;0.06418632902290917
Azenha;0.10105888674821727;0.13141372405139715;0.07375710358488452;0.059652696158484335;0.041365316470222485;0.09144803391224894;0.0;0.08392808848836683;0.1052798576203488;0.06434654493338071;0.14749759213556124;0.0652703431216221;0.034981812775265575
Bom Fim;0.02261332446036968;0.07598511839375524;0.15116440553724142;0.06971258269171825;0.14492797281271513;0.0601875956951879;0.10932369997814449;0.0;0.08438211792635977;0.02945029930151091;0.0831895532092234;0.0797135411885942;0.08934978880517963
Centro;0.059056454419336206;0.1051632630668656;0.08204905954888417;0.04196898263256256;0.09985899561932239;0.10181536138608245;0.09674896882964158;0.05953117957130298;0.0;0.05351770949311255;0.08931779268951626;0.10869328165713783;0.10227895108623554
Farroupilha;0.051430263962397485;0.10811812284819892;0.12738269887858117;0.044627500338932154;0.12019145340226972;0.07832218757148414;0.08700766909648654;0.030571378694126898;0.07874604731389943;0.0;0.1157472711171313;0.08119864390652222;0.07665676286996992
Floresta;0.037885614507287724;0.03234563183540926;0.13811879515120243;0.08845037389120403;0.13876629087457468;0.062071893149059865;0.11739070667174065;0.05082888564458853;0.07735452296289495;0.06812825189807904;0.0;0.0871230668224999;0.10153596659145894
Santa Cecília;0.07872012208855532;0.08336853243058351;0.13704519972694934;0.08900127664957029;0.11091361746260427;0.035613413291720124;0.06825360448286218;0.06399334453149882;0.12368337880261782;0.06279515984001921;0.1144706276149718;0.0;0.032141723078047454
Santana;0.0918315300390387;0.11194361556490019;0.1125759323758774;0.07536677863900816;0.08183516011197939;0.06506314061555481;0.037545606813126076;0.0736212788736019;0.1194543656160949;0.0608464143549772;0.13692663576727912;0.03298954122856227;0.0
