Simulation Frame;Blob Count
0;13
1;13
2;13
3;13
4;13
5;13
6;182
7;182
8;182
9;182
10;182
11;182
12;182
13;182
14;182
15;182
16;182
17;182
18;182
19;182
20;182
21;182
22;182
23;13
24;13
25;13
26;13
27;13
28;13
29;13
30;182
31;182
32;182
33;182
34;182
35;182
36;182
37;182
38;182
39;182
40;182
41;182
42;182
43;182
44;182
45;182
46;182
47;13
48;13
49;13
50;13
51;13
52;13
53;13
54;182
55;182
56;182
57;182
58;182
59;182
60;182
61;182
62;182
63;182
64;182
65;182
66;182
67;182
68;182
69;182
70;182
71;13
72;13
73;13
74;13
75;13
76;13
77;13
78;182
79;182
80;182
81;182
82;182
83;182
84;182
85;182
86;182
87;182
88;182
89;182
90;182
91;182
92;182
93;182
94;182
95;13
96;13
97;13
98;13
99;13
100;13
101;13
102;182
103;182
104;182
105;182
106;182
107;182
108;182
109;182
110;182
111;182
112;182
113;182
114;182
115;182
116;182
117;182
118;182
119;13
120;13
121;13
122;13
123;13
124;13
125;13
126;182
127;182
128;182
129;182
130;182
131;182
132;182
133;182
134;182
135;182
136;182
137;182
138;182
139;182
140;182
141;182
142;182
143;13
144;13
145;13
146;13
147;13
148;13
149;13
150;182
151;182
152;182
153;182
154;182
155;182
156;182
157;182
158;182
159;182
160;182
161;182
162;182
163;182
164;182
165;182
166;182
167;13
168;13
169;13
170;13
171;13
172;13
173;13
174;182
175;182
176;182
177;182
178;182
179;182
180;182
181;182
182;182
183;182
184;182
185;182
186;182
187;182
188;182
189;182
190;182
191;13
192;13
193;13
194;13
195;13
196;13
197;13
198;182
199;182
200;182
201;182
202;182
203;182
204;182
205;182
206;182
207;182
208;182
209;182
210;182
211;182
212;182
213;182
214;182
215;13
216;13
217;13
218;13
219;13
220;13
221;13
222;182
223;182
224;182
225;182
226;182
227;182
228;182
229;182
230;182
231;182
232;182
233;182
234;182
235;182
236;182
237;182
238;182
239;13
