Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1;1;1;1;1;1;1;1;1;1;1;1;1
5;1;1;1;1;1;1;1;1;1;1;1;1;1
6;14;14;14;14;14;14;14;14;14;14;14;14;14
7;14;14;14;14;14;14;14;14;14;14;14;14;14
8;14;14;14;14;14;14;14;14;14;14;14;14;14
9;14;14;14;14;14;14;14;14;14;14;14;14;14
10;14;14;14;14;14;14;14;14;14;14;14;14;14
11;14;14;14;14;14;14;14;14;14;14;14;14;14
12;14;14;14;14;14;14;14;14;14;14;14;14;14
13;14;14;14;14;14;14;14;14;14;14;14;14;14
14;14;14;14;14;14;14;14;14;14;14;14;14;14
15;14;14;14;14;14;14;14;14;14;14;14;14;14
16;14;14;14;14;14;14;14;14;14;14;14;14;14
17;14;14;14;14;14;14;14;14;14;14;14;14;14
18;14;14;14;14;14;14;14;14;14;14;14;14;14
19;14;14;14;14;14;14;14;14;14;14;14;14;14
20;14;14;14;14;14;14;14;14;14;14;14;14;14
21;14;14;14;14;14;14;14;14;14;14;14;14;14
22;14;14;14;14;14;14;14;14;14;14;14;14;14
23;1;1;1;1;1;1;1;1;1;1;1;1;1
24;1;1;1;1;1;1;1;1;1;1;1;1;1
25;1;1;1;1;1;1;1;1;1;1;1;1;1
26;1;1;1;1;1;1;1;1;1;1;1;1;1
27;1;1;1;1;1;1;1;1;1;1;1;1;1
28;1;1;1;1;1;1;1;1;1;1;1;1;1
29;1;1;1;1;1;1;1;1;1;1;1;1;1
30;14;14;14;14;14;14;14;14;14;14;14;14;14
31;14;14;14;14;14;14;14;14;14;14;14;14;14
32;14;14;14;14;14;14;14;14;14;14;14;14;14
33;14;14;14;14;14;14;14;14;14;14;14;14;14
34;14;14;14;14;14;14;14;14;14;14;14;14;14
35;14;14;14;14;14;14;14;14;14;14;14;14;14
36;14;14;14;14;14;14;14;14;14;14;14;14;14
37;14;14;14;14;14;14;14;14;14;14;14;14;14
38;14;14;14;14;14;14;14;14;14;14;14;14;14
39;14;14;14;14;14;14;14;14;14;14;14;14;14
40;14;14;14;14;14;14;14;14;14;14;14;14;14
41;14;14;14;14;14;14;14;14;14;14;14;14;14
42;14;14;14;14;14;14;14;14;14;14;14;14;14
43;14;14;14;14;14;14;14;14;14;14;14;14;14
