Simulation Frame;Blob Count
0;13
1;13
2;13
3;13
4;13
5;13
6;13
7;13
8;47
9;47
10;50
11;50
12;51
13;51
14;51
15;51
16;51
17;51
18;51
19;51
20;51
21;51
22;51
23;51
24;51
25;51
26;51
27;51
28;51
29;51
30;51
31;51
32;203
33;203
34;203
35;203
36;204
37;204
38;204
39;204
40;204
41;204
42;204
43;204
44;204
45;204
46;204
47;204
48;204
49;204
50;204
51;204
52;204
53;204
54;204
55;204
56;356
57;356
58;357
59;357
60;357
61;357
62;357
63;357
64;357
65;357
66;357
67;357
68;357
69;357
70;357
71;357
72;357
73;357
74;357
75;357
76;357
77;357
78;357
79;357
80;510
81;510
82;510
83;510
84;514
85;514
86;514
87;514
88;514
89;514
90;514
91;514
92;514
93;514
94;514
95;514
96;514
97;514
98;514
99;514
100;514
101;514
102;514
103;514
104;577
105;577
106;577
107;577
108;577
109;577
110;577
111;577
112;577
113;577
114;577
115;577
116;577
117;577
118;577
119;577
120;577
121;577
122;577
123;577
124;577
125;577
126;577
127;577
128;454
129;454
130;454
131;454
132;455
133;455
134;455
135;455
136;455
137;455
138;455
139;455
140;455
141;455
142;455
143;455
144;455
145;455
146;455
147;455
148;455
149;455
150;455
151;455
152;443
153;443
154;443
155;443
156;443
157;443
158;443
159;443
160;443
161;443
162;443
163;443
164;443
165;443
166;443
167;443
168;443
169;443
170;443
171;443
172;443
173;443
174;443
175;443
176;483
177;483
178;483
179;483
180;483
181;483
182;483
183;483
184;483
185;483
186;483
187;483
188;483
189;483
190;483
191;483
192;483
193;483
194;483
195;483
196;483
197;483
198;483
199;483
200;584
201;584
202;585
203;585
204;586
205;586
206;586
207;586
208;586
209;586
210;586
211;586
212;586
213;586
214;586
215;586
216;586
217;586
218;586
219;586
220;586
221;586
222;586
223;586
224;583
225;583
226;584
227;584
228;585
229;585
230;585
231;585
232;585
233;585
234;585
235;585
236;585
237;585
238;585
239;585
