Frame;Hour;Susceptible;Infected;Removed;Vaccinated;dS;dI;dR;dV;
0;0;190489;1;0;0;190489;1;0;0;
1;1;190489;1;0;0;0;0;0;0;
2;2;190489;1;0;0;0;0;0;0;
3;3;190489;1;0;0;0;0;0;0;
4;4;190489;1;0;0;0;0;0;0;
5;5;190489;1;0;0;0;0;0;0;
6;6;190489;1;0;0;0;0;0;0;
7;7;190489;1;0;0;0;0;0;0;
8;8;190489;1;0;0;0;0;0;0;
9;9;190489;1;0;0;0;0;0;0;
10;10;190489;1;0;0;0;0;0;0;
11;11;190160;1;0;329;-329;0;0;329;
12;12;190160;1;0;329;0;0;0;0;
13;13;190160;1;0;329;0;0;0;0;
14;14;190160;1;0;329;0;0;0;0;
15;15;190160;1;0;329;0;0;0;0;
16;16;189831;1;0;658;-329;0;0;329;
17;17;189831;1;0;658;0;0;0;0;
18;18;189831;1;0;658;0;0;0;0;
19;19;189831;1;0;658;0;0;0;0;
20;20;189831;1;0;658;0;0;0;0;
21;21;189831;1;0;658;0;0;0;0;
22;22;189831;1;0;658;0;0;0;0;
23;23;189831;1;0;658;0;0;0;0;
24;0;189831;1;0;658;0;0;0;0;
25;1;189831;1;0;658;0;0;0;0;
26;2;189831;1;0;658;0;0;0;0;
27;3;189831;1;0;658;0;0;0;0;
28;4;189831;1;0;658;0;0;0;0;
29;5;189831;1;0;658;0;0;0;0;
30;6;189831;1;0;658;0;0;0;0;
31;7;189831;1;0;658;0;0;0;0;
32;8;189831;1;0;658;0;0;0;0;
33;9;189831;1;0;658;0;0;0;0;
34;10;189831;1;0;658;0;0;0;0;
35;11;184166;1;0;6323;-5665;0;0;5665;
36;12;184166;1;0;6323;0;0;0;0;
37;13;184166;1;0;6323;0;0;0;0;
38;14;184166;1;0;6323;0;0;0;0;
39;15;184166;1;0;6323;0;0;0;0;
40;16;178500;1;0;11989;-5666;0;0;5666;
41;17;178500;1;0;11989;0;0;0;0;
42;18;178500;1;0;11989;0;0;0;0;
43;19;178500;1;0;11989;0;0;0;0;
44;20;178500;1;0;11989;0;0;0;0;
45;21;178500;1;0;11989;0;0;0;0;
46;22;178500;1;0;11989;0;0;0;0;
47;23;178500;1;0;11989;0;0;0;0;
48;0;178500;1;0;11989;0;0;0;0;
49;1;178500;1;0;11989;0;0;0;0;
50;2;178500;1;0;11989;0;0;0;0;
51;3;178500;1;0;11989;0;0;0;0;
52;4;178500;1;0;11989;0;0;0;0;
53;5;178500;1;0;11989;0;0;0;0;
54;6;178500;1;0;11989;0;0;0;0;
55;7;178500;1;0;11989;0;0;0;0;
56;8;178500;1;0;11989;0;0;0;0;
57;9;178500;1;0;11989;0;0;0;0;
58;10;178500;1;0;11989;0;0;0;0;
59;11;171446;1;0;19043;-7054;0;0;7054;
60;12;171446;1;0;19043;0;0;0;0;
61;13;171446;1;0;19043;0;0;0;0;
62;14;171446;1;0;19043;0;0;0;0;
63;15;171446;1;0;19043;0;0;0;0;
64;16;164392;1;0;26097;-7054;0;0;7054;
65;17;164392;1;0;26097;0;0;0;0;
66;18;164392;1;0;26097;0;0;0;0;
67;19;164392;1;0;26097;0;0;0;0;
68;20;164392;1;0;26097;0;0;0;0;
69;21;164392;1;0;26097;0;0;0;0;
70;22;164392;1;0;26097;0;0;0;0;
71;23;164392;1;0;26097;0;0;0;0;
72;0;164392;1;0;26097;0;0;0;0;
73;1;164392;1;0;26097;0;0;0;0;
74;2;164392;1;0;26097;0;0;0;0;
75;3;164392;1;0;26097;0;0;0;0;
76;4;164392;1;0;26097;0;0;0;0;
77;5;164392;1;0;26097;0;0;0;0;
78;6;164392;1;0;26097;0;0;0;0;
79;7;164392;1;0;26097;0;0;0;0;
80;8;164392;1;0;26097;0;0;0;0;
81;9;164392;1;0;26097;0;0;0;0;
82;10;164392;1;0;26097;0;0;0;0;
83;11;158509;1;0;31980;-5883;0;0;5883;
84;12;158509;1;0;31980;0;0;0;0;
85;13;158509;1;0;31980;0;0;0;0;
86;14;158509;1;0;31980;0;0;0;0;
87;15;158509;1;0;31980;0;0;0;0;
88;16;152626;1;0;37863;-5883;0;0;5883;
89;17;152626;1;0;37863;0;0;0;0;
90;18;152626;1;0;37863;0;0;0;0;
91;19;152626;1;0;37863;0;0;0;0;
92;20;152626;1;0;37863;0;0;0;0;
93;21;152626;1;0;37863;0;0;0;0;
94;22;152626;1;0;37863;0;0;0;0;
95;23;152626;1;0;37863;0;0;0;0;
96;0;152626;1;0;37863;0;0;0;0;
97;1;152626;1;0;37863;0;0;0;0;
98;2;152626;1;0;37863;0;0;0;0;
99;3;152626;1;0;37863;0;0;0;0;
100;4;152626;1;0;37863;0;0;0;0;
101;5;152626;1;0;37863;0;0;0;0;
102;6;152626;1;0;37863;0;0;0;0;
103;7;152626;1;0;37863;0;0;0;0;
104;8;152626;1;0;37863;0;0;0;0;
105;9;152626;1;0;37863;0;0;0;0;
106;10;152626;1;0;37863;0;0;0;0;
107;11;151295;1;0;39194;-1331;0;0;1331;
108;12;151295;1;0;39194;0;0;0;0;
109;13;151295;1;0;39194;0;0;0;0;
110;14;151295;1;0;39194;0;0;0;0;
111;15;151295;1;0;39194;0;0;0;0;
112;16;149964;1;0;40525;-1331;0;0;1331;
113;17;149964;1;0;40525;0;0;0;0;
114;18;149964;1;0;40525;0;0;0;0;
115;19;149964;1;0;40525;0;0;0;0;
116;20;149964;1;0;40525;0;0;0;0;
117;21;149964;1;0;40525;0;0;0;0;
118;22;149964;1;0;40525;0;0;0;0;
119;23;149964;1;0;40525;0;0;0;0;
120;0;149964;1;0;40525;0;0;0;0;
121;1;149964;1;0;40525;0;0;0;0;
122;2;149964;1;0;40525;0;0;0;0;
123;3;149964;1;0;40525;0;0;0;0;
124;4;149964;1;0;40525;0;0;0;0;
125;5;149964;1;0;40525;0;0;0;0;
126;6;149964;1;0;40525;0;0;0;0;
127;7;149964;1;0;40525;0;0;0;0;
128;8;149964;1;0;40525;0;0;0;0;
129;9;149964;1;0;40525;0;0;0;0;
130;10;149964;1;0;40525;0;0;0;0;
131;11;149657;1;0;40832;-307;0;0;307;
132;12;149657;1;0;40832;0;0;0;0;
133;13;149657;1;0;40832;0;0;0;0;
134;14;149657;1;0;40832;0;0;0;0;
135;15;149657;1;0;40832;0;0;0;0;
136;16;149350;1;0;41139;-307;0;0;307;
137;17;149350;1;0;41139;0;0;0;0;
138;18;149350;1;0;41139;0;0;0;0;
139;19;149350;1;0;41139;0;0;0;0;
140;20;149350;1;0;41139;0;0;0;0;
141;21;149350;1;0;41139;0;0;0;0;
142;22;149350;1;0;41139;0;0;0;0;
143;23;149350;1;0;41139;0;0;0;0;
144;0;149350;1;0;41139;0;0;0;0;
145;1;149350;1;0;41139;0;0;0;0;
146;2;149350;1;0;41139;0;0;0;0;
147;3;149350;1;0;41139;0;0;0;0;
148;4;149350;1;0;41139;0;0;0;0;
149;5;149350;1;0;41139;0;0;0;0;
150;6;149350;1;0;41139;0;0;0;0;
151;7;149350;1;0;41139;0;0;0;0;
152;8;149350;1;0;41139;0;0;0;0;
153;9;149350;1;0;41139;0;0;0;0;
154;10;149350;1;0;41139;0;0;0;0;
155;11;145240;1;0;45249;-4110;0;0;4110;
156;12;145240;1;0;45249;0;0;0;0;
157;13;145240;1;0;45249;0;0;0;0;
158;14;145240;1;0;45249;0;0;0;0;
159;15;145240;1;0;45249;0;0;0;0;
160;16;141130;1;0;49359;-4110;0;0;4110;
161;17;141130;1;0;49359;0;0;0;0;
162;18;141130;1;0;49359;0;0;0;0;
163;19;141130;1;0;49359;0;0;0;0;
164;20;141130;1;0;49359;0;0;0;0;
165;21;141130;1;0;49359;0;0;0;0;
166;22;141130;1;0;49359;0;0;0;0;
167;23;141130;1;0;49359;0;0;0;0;
168;0;141130;1;0;49359;0;0;0;0;
169;1;141130;1;0;49359;0;0;0;0;
170;2;141130;1;0;49359;0;0;0;0;
171;3;141130;1;0;49359;0;0;0;0;
172;4;141130;1;0;49359;0;0;0;0;
173;5;141130;1;0;49359;0;0;0;0;
174;6;141130;1;0;49359;0;0;0;0;
175;7;141130;1;0;49359;0;0;0;0;
176;8;141130;1;0;49359;0;0;0;0;
177;9;141130;1;0;49359;0;0;0;0;
178;10;141130;1;0;49359;0;0;0;0;
179;11;137365;1;0;53124;-3765;0;0;3765;
180;12;137365;1;0;53124;0;0;0;0;
181;13;137365;1;0;53124;0;0;0;0;
182;14;137365;1;0;53124;0;0;0;0;
183;15;137365;1;0;53124;0;0;0;0;
184;16;133600;1;0;56889;-3765;0;0;3765;
185;17;133600;1;0;56889;0;0;0;0;
186;18;133600;1;0;56889;0;0;0;0;
187;19;133600;1;0;56889;0;0;0;0;
188;20;133600;1;0;56889;0;0;0;0;
189;21;133600;1;0;56889;0;0;0;0;
190;22;133600;1;0;56889;0;0;0;0;
191;23;133600;1;0;56889;0;0;0;0;
192;0;133600;1;0;56889;0;0;0;0;
193;1;133600;1;0;56889;0;0;0;0;
194;2;133600;1;0;56889;0;0;0;0;
195;3;133600;1;0;56889;0;0;0;0;
196;4;133600;1;0;56889;0;0;0;0;
197;5;133600;1;0;56889;0;0;0;0;
198;6;133600;1;0;56889;0;0;0;0;
199;7;133600;1;0;56889;0;0;0;0;
200;8;133600;1;0;56889;0;0;0;0;
201;9;133600;1;0;56889;0;0;0;0;
202;10;133600;1;0;56889;0;0;0;0;
203;11;130815;1;0;59674;-2785;0;0;2785;
204;12;130815;1;0;59674;0;0;0;0;
205;13;130815;1;0;59674;0;0;0;0;
206;14;130815;1;0;59674;0;0;0;0;
207;15;130815;1;0;59674;0;0;0;0;
208;16;128030;1;0;62459;-2785;0;0;2785;
209;17;128030;1;0;62459;0;0;0;0;
210;18;128030;1;0;62459;0;0;0;0;
