Frame;Hour;Susceptible;Infected;Removed;Vaccinated;dS;dI;dR;dV;
0;0;1409351;1;0;0;1409351;1;0;0;
1;1;1409351;1;0;0;0;0;0;0;
2;2;1409351;1;0;0;0;0;0;0;
3;3;1409351;1;0;0;0;0;0;0;
4;4;1409351;1;0;0;0;0;0;0;
5;5;1409351;1;0;0;0;0;0;0;
6;6;1409351;1;0;0;0;0;0;0;
7;7;1409351;1;0;0;0;0;0;0;
8;8;1409351;1;0;0;0;0;0;0;
9;9;1409351;1;0;0;0;0;0;0;
10;10;1409351;1;0;0;0;0;0;0;
11;11;1409212;1;0;139;-139;0;0;139;
12;12;1409212;1;0;139;0;0;0;0;
13;13;1409212;1;0;139;0;0;0;0;
14;14;1409212;1;0;139;0;0;0;0;
15;15;1409212;1;0;139;0;0;0;0;
16;16;1409073;1;0;278;-139;0;0;139;
17;17;1409073;1;0;278;0;0;0;0;
18;18;1409073;1;0;278;0;0;0;0;
19;19;1409073;1;0;278;0;0;0;0;
20;20;1409073;1;0;278;0;0;0;0;
21;21;1409073;1;0;278;0;0;0;0;
22;22;1409073;1;0;278;0;0;0;0;
23;23;1409073;1;0;278;0;0;0;0;
24;0;1409073;1;0;278;0;0;0;0;
25;1;1409073;1;0;278;0;0;0;0;
26;2;1409073;1;0;278;0;0;0;0;
27;3;1409073;1;0;278;0;0;0;0;
28;4;1409073;1;0;278;0;0;0;0;
29;5;1409073;1;0;278;0;0;0;0;
30;6;1409073;1;0;278;0;0;0;0;
31;7;1409073;1;0;278;0;0;0;0;
32;8;1409073;1;0;278;0;0;0;0;
33;9;1409073;1;0;278;0;0;0;0;
34;10;1409073;1;0;278;0;0;0;0;
35;11;1406264;1;0;3087;-2809;0;0;2809;
36;12;1406264;1;0;3087;0;0;0;0;
37;13;1406264;1;0;3087;0;0;0;0;
38;14;1406264;1;0;3087;0;0;0;0;
39;15;1406264;1;0;3087;0;0;0;0;
40;16;1403454;1;0;5897;-2810;0;0;2810;
41;17;1403454;1;0;5897;0;0;0;0;
42;18;1403454;1;0;5897;0;0;0;0;
43;19;1403454;1;0;5897;0;0;0;0;
44;20;1403454;1;0;5897;0;0;0;0;
45;21;1403454;1;0;5897;0;0;0;0;
46;22;1403454;1;0;5897;0;0;0;0;
47;23;1403454;1;0;5897;0;0;0;0;
48;0;1403454;1;0;5897;0;0;0;0;
49;1;1403454;1;0;5897;0;0;0;0;
50;2;1403454;1;0;5897;0;0;0;0;
51;3;1403454;1;0;5897;0;0;0;0;
52;4;1403454;1;0;5897;0;0;0;0;
53;5;1403454;1;0;5897;0;0;0;0;
54;6;1403454;1;0;5897;0;0;0;0;
55;7;1403454;1;0;5897;0;0;0;0;
56;8;1403454;1;0;5897;0;0;0;0;
57;9;1403454;1;0;5897;0;0;0;0;
58;10;1403454;1;0;5897;0;0;0;0;
