Frame;Hour;Day;VaccLvl_0;VaccLvl_1;VaccLvl_2;dVaccLvl_0;dVaccLvl_1;dVaccLvl_2
0;0;0;190489;0;0;190489;0;0
1;1;0;190489;0;0;0;0;0
2;2;0;190489;0;0;0;0;0
3;3;0;190489;0;0;0;0;0
4;4;0;190489;0;0;0;0;0
5;5;0;190489;0;0;0;0;0
6;6;0;190489;0;0;0;0;0
7;7;0;190489;0;0;0;0;0
8;8;0;190385;104;0;-104;104;0
9;9;0;190385;104;0;0;0;0
10;10;0;190273;216;0;-112;112;0
11;11;0;190273;216;0;0;0;0
12;12;0;190160;329;0;-113;113;0
13;13;0;190160;329;0;0;0;0
14;14;0;190160;329;0;0;0;0
15;15;0;190160;329;0;0;0;0
16;16;0;190160;329;0;0;0;0
17;17;0;190160;329;0;0;0;0
18;18;0;190160;329;0;0;0;0
19;19;0;190160;329;0;0;0;0
20;20;0;190160;329;0;0;0;0
21;21;0;190160;329;0;0;0;0
22;22;0;190160;329;0;0;0;0
23;23;0;190160;329;0;0;0;0
24;0;1;190160;329;0;0;0;0
25;1;1;190160;329;0;0;0;0
26;2;1;190160;329;0;0;0;0
27;3;1;190160;329;0;0;0;0
28;4;1;190160;329;0;0;0;0
29;5;1;190160;329;0;0;0;0
30;6;1;190160;329;0;0;0;0
31;7;1;190160;329;0;0;0;0
32;8;1;188277;2212;0;-1883;1883;0
33;9;1;188277;2212;0;0;0;0
34;10;1;186389;4100;0;-1888;1888;0
35;11;1;186389;4100;0;0;0;0
36;12;1;184494;5995;0;-1895;1895;0
37;13;1;184494;5995;0;0;0;0
38;14;1;184494;5995;0;0;0;0
39;15;1;184494;5995;0;0;0;0
40;16;1;184494;5995;0;0;0;0
41;17;1;184494;5995;0;0;0;0
42;18;1;184494;5995;0;0;0;0
43;19;1;184494;5995;0;0;0;0
44;20;1;184494;5995;0;0;0;0
45;21;1;184494;5995;0;0;0;0
46;22;1;184494;5995;0;0;0;0
47;23;1;184494;5995;0;0;0;0
48;0;2;184494;5995;0;0;0;0
49;1;2;184494;5995;0;0;0;0
50;2;2;184494;5995;0;0;0;0
51;3;2;184494;5995;0;0;0;0
52;4;2;184494;5995;0;0;0;0
53;5;2;184494;5995;0;0;0;0
54;6;2;184494;5995;0;0;0;0
55;7;2;184494;5995;0;0;0;0
56;8;2;182147;8342;0;-2347;2347;0
57;9;2;182147;8342;0;0;0;0
58;10;2;179795;10694;0;-2352;2352;0
59;11;2;179795;10694;0;0;0;0
60;12;2;177440;13049;0;-2355;2355;0
61;13;2;177440;13049;0;0;0;0
62;14;2;177440;13049;0;0;0;0
63;15;2;177440;13049;0;0;0;0
64;16;2;177440;13049;0;0;0;0
