Simulation Frame;Blob Count
0;13
1;13
2;13
3;13
4;178
5;178
6;178
7;178
8;178
9;178
10;178
11;178
12;178
13;178
14;178
15;178
16;178
17;178
18;178
19;178
20;178
21;178
22;13
23;13
24;13
25;13
26;13
27;13
28;178
29;178
30;178
31;178
32;178
33;178
34;178
35;178
36;178
37;178
38;178
39;178
40;178
41;178
42;178
43;178
44;178
45;178
46;13
47;13
48;13
49;13
50;13
51;13
52;178
53;178
54;178
55;178
56;178
57;178
58;178
59;178
60;178
61;178
62;178
63;178
64;178
65;178
66;178
67;178
68;178
69;178
70;13
71;13
72;13
73;13
74;13
75;13
76;178
77;178
78;178
79;178
80;178
81;178
82;178
83;178
84;178
85;178
86;178
87;178
88;178
89;178
90;178
91;178
92;178
93;178
94;13
95;13
96;13
97;13
98;13
99;13
100;178
101;178
102;178
103;178
104;178
105;178
106;178
107;178
108;178
109;178
110;178
111;178
112;178
113;178
114;178
115;178
116;178
117;178
118;13
119;13
120;13
121;13
122;13
123;13
124;178
125;178
126;178
127;178
128;178
129;178
130;178
131;178
132;178
133;178
134;178
135;178
136;178
137;178
138;178
139;178
140;178
141;178
142;13
143;13
144;13
145;13
146;13
147;13
148;178
149;178
150;178
151;178
152;178
153;178
154;178
155;178
156;178
157;178
158;178
159;178
160;178
161;178
162;178
163;178
164;178
165;178
166;13
167;13
168;13
169;13
170;13
171;13
172;178
173;178
174;178
175;178
176;178
177;178
178;178
179;178
180;178
181;178
182;178
183;178
184;178
185;178
186;178
187;178
188;178
189;178
190;13
191;13
192;13
193;13
194;13
195;13
196;178
197;178
198;178
199;178
200;178
201;178
202;178
203;178
204;178
205;178
206;178
207;178
208;178
209;178
210;178
211;178
212;178
213;178
214;13
215;13
216;13
217;13
218;13
219;13
220;178
221;178
222;178
223;178
224;178
225;178
226;178
227;178
228;178
229;178
230;178
231;178
232;178
233;178
234;178
235;178
236;178
237;178
238;13
239;13
