Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1;1;1;1;1;1;1;1;1;1;1;1;1
4;14;14;14;14;14;14;14;14;14;13;13;13;13
5;14;14;14;14;14;14;14;14;14;13;13;13;13
6;14;14;14;14;14;14;14;14;14;13;13;13;13
7;14;14;14;14;14;14;14;14;14;13;13;13;13
8;14;14;14;14;14;14;14;14;14;13;13;13;13
9;14;14;14;14;14;14;14;14;14;13;13;13;13
10;14;14;14;14;14;14;14;14;14;13;13;13;13
11;14;14;14;14;14;14;14;14;14;13;13;13;13
12;14;14;14;14;14;14;14;14;14;13;13;13;13
13;14;14;14;14;14;14;14;14;14;13;13;13;13
14;14;14;14;14;14;14;14;14;14;13;13;13;13
15;14;14;14;14;14;14;14;14;14;13;13;13;13
16;14;14;14;14;14;14;14;14;14;13;13;13;13
17;14;14;14;14;14;14;14;14;14;13;13;13;13
18;14;14;14;14;14;14;14;14;14;13;13;13;13
19;14;14;14;14;14;14;14;14;14;13;13;13;13
20;14;14;14;14;14;14;14;14;14;13;13;13;13
21;14;14;14;14;14;14;14;14;14;13;13;13;13
22;1;1;1;1;1;1;1;1;1;1;1;1;1
23;1;1;1;1;1;1;1;1;1;1;1;1;1
24;1;1;1;1;1;1;1;1;1;1;1;1;1
25;1;1;1;1;1;1;1;1;1;1;1;1;1
26;1;1;1;1;1;1;1;1;1;1;1;1;1
27;1;1;1;1;1;1;1;1;1;1;1;1;1
28;14;14;14;14;14;14;14;14;14;13;13;13;13
29;14;14;14;14;14;14;14;14;14;13;13;13;13
30;14;14;14;14;14;14;14;14;14;13;13;13;13
31;14;14;14;14;14;14;14;14;14;13;13;13;13
32;14;14;14;14;14;14;14;14;14;13;13;13;13
33;14;14;14;14;14;14;14;14;14;13;13;13;13
34;14;14;14;14;14;14;14;14;14;13;13;13;13
35;14;14;14;14;14;14;14;14;14;13;13;13;13
36;14;14;14;14;14;14;14;14;14;13;13;13;13
37;14;14;14;14;14;14;14;14;14;13;13;13;13
38;14;14;14;14;14;14;14;14;14;13;13;13;13
39;14;14;14;14;14;14;14;14;14;13;13;13;13
40;14;14;14;14;14;14;14;14;14;13;13;13;13
41;14;14;14;14;14;14;14;14;14;13;13;13;13
42;14;14;14;14;14;14;14;14;14;13;13;13;13
43;14;14;14;14;14;14;14;14;14;13;13;13;13
