Frame;Hour;Day;Node;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Aberta dos Morros//home;7146;7146;0;0;0;0
0;0;0;Aberta dos Morros//work;0;0;0;0;0;0
0;0;0;Aberta dos Morros//school;0;0;0;0;0;0
0;0;0;Aberta dos Morros//marketplace;0;0;0;0;0;0
0;0;0;Aberta dos Morros//pharmacy;0;0;0;0;0;0
0;0;0;Aberta dos Morros//gas_station;0;0;0;0;0;0
0;0;0;Agronomia//home;2331;0;2331;0;-2331;2331
0;0;0;Agronomia//work;0;0;0;0;0;0
0;0;0;Agronomia//school;0;0;0;0;0;0
0;0;0;Agronomia//marketplace;0;0;0;0;0;0
0;0;0;Agronomia//pharmacy;0;0;0;0;0;0
0;0;0;Agronomia//gas_station;0;0;0;0;0;0
0;0;0;Anchieta//home;2024;0;2024;0;-2024;2024
0;0;0;Anchieta//work;0;0;0;0;0;0
0;0;0;Anchieta//school;0;0;0;0;0;0
0;0;0;Anchieta//marketplace;0;0;0;0;0;0
0;0;0;Anchieta//pharmacy;0;0;0;0;0;0
0;0;0;Anchieta//gas_station;0;0;0;0;0;0
0;0;0;Arquipélago//home;8330;0;8330;0;-8330;8330
0;0;0;Arquipélago//work;0;0;0;0;0;0
0;0;0;Arquipélago//school;0;0;0;0;0;0
0;0;0;Arquipélago//marketplace;0;0;0;0;0;0
0;0;0;Arquipélago//pharmacy;0;0;0;0;0;0
0;0;0;Arquipélago//gas_station;0;0;0;0;0;0
0;0;0;Auxiliadora//home;9683;0;9683;0;-9683;9683
0;0;0;Auxiliadora//work;0;0;0;0;0;0
0;0;0;Auxiliadora//school;0;0;0;0;0;0
0;0;0;Auxiliadora//marketplace;0;0;0;0;0;0
0;0;0;Auxiliadora//pharmacy;0;0;0;0;0;0
0;0;0;Auxiliadora//gas_station;0;0;0;0;0;0
0;0;0;Azenha//home;13804;0;13804;0;-13804;13804
0;0;0;Azenha//work;0;0;0;0;0;0
0;0;0;Azenha//school;0;0;0;0;0;0
0;0;0;Azenha//marketplace;0;0;0;0;0;0
0;0;0;Azenha//pharmacy;0;0;0;0;0;0
0;0;0;Azenha//gas_station;0;0;0;0;0;0
0;0;0;Azenha//hospital;0;0;0;0;0;0
0;0;0;Azenha//shopping_mall;0;0;0;0;0;0
0;0;0;Bela Vista//home;11787;0;11787;0;-11787;11787
0;0;0;Bela Vista//work;0;0;0;0;0;0
0;0;0;Bela Vista//school;0;0;0;0;0;0
0;0;0;Bela Vista//marketplace;0;0;0;0;0;0
0;0;0;Bela Vista//pharmacy;0;0;0;0;0;0
0;0;0;Bela Vista//gas_station;0;0;0;0;0;0
0;0;0;Belém Novo//home;10100;0;10100;0;-10100;10100
0;0;0;Belém Novo//work;0;0;0;0;0;0
0;0;0;Belém Novo//school;0;0;0;0;0;0
0;0;0;Belém Novo//marketplace;0;0;0;0;0;0
0;0;0;Belém Novo//pharmacy;0;0;0;0;0;0
0;0;0;Belém Novo//gas_station;0;0;0;0;0;0
0;0;0;Belém Velho//home;10835;0;10835;0;-10835;10835
0;0;0;Belém Velho//work;0;0;0;0;0;0
0;0;0;Belém Velho//school;0;0;0;0;0;0
0;0;0;Belém Velho//marketplace;0;0;0;0;0;0
0;0;0;Belém Velho//pharmacy;0;0;0;0;0;0
0;0;0;Belém Velho//gas_station;0;0;0;0;0;0
0;0;0;Boa Vista//home;10053;0;10053;0;-10053;10053
0;0;0;Boa Vista//work;0;0;0;0;0;0
0;0;0;Boa Vista//school;0;0;0;0;0;0
0;0;0;Boa Vista//marketplace;0;0;0;0;0;0
0;0;0;Boa Vista//pharmacy;0;0;0;0;0;0
0;0;0;Boa Vista//gas_station;0;0;0;0;0;0
0;0;0;Boa Vista do Sul//home;2309;0;2309;0;-2309;2309
0;0;0;Boa Vista do Sul//work;0;0;0;0;0;0
0;0;0;Boa Vista do Sul//school;0;0;0;0;0;0
0;0;0;Boa Vista do Sul//marketplace;0;0;0;0;0;0
0;0;0;Boa Vista do Sul//pharmacy;0;0;0;0;0;0
0;0;0;Boa Vista do Sul//gas_station;0;0;0;0;0;0
0;0;0;Bom Fim//home;11593;0;11593;0;-11593;11593
0;0;0;Bom Fim//work;0;0;0;0;0;0
0;0;0;Bom Fim//school;0;0;0;0;0;0
0;0;0;Bom Fim//marketplace;0;0;0;0;0;0
0;0;0;Bom Fim//pharmacy;0;0;0;0;0;0
0;0;0;Bom Fim//gas_station;0;0;0;0;0;0
0;0;0;Bom Jesus//home;28675;0;28675;0;-28675;28675
0;0;0;Bom Jesus//work;0;0;0;0;0;0
0;0;0;Bom Jesus//school;0;0;0;0;0;0
0;0;0;Bom Jesus//marketplace;0;0;0;0;0;0
0;0;0;Bom Jesus//pharmacy;0;0;0;0;0;0
0;0;0;Bom Jesus//gas_station;0;0;0;0;0;0
0;0;0;Camaquã//home;17938;0;17938;0;-17938;17938
0;0;0;Camaquã//work;0;0;0;0;0;0
0;0;0;Camaquã//school;0;0;0;0;0;0
0;0;0;Camaquã//marketplace;0;0;0;0;0;0
0;0;0;Camaquã//pharmacy;0;0;0;0;0;0
0;0;0;Camaquã//gas_station;0;0;0;0;0;0
0;0;0;Campo Novo//home;8766;0;8766;0;-8766;8766
0;0;0;Campo Novo//work;0;0;0;0;0;0
0;0;0;Campo Novo//school;0;0;0;0;0;0
0;0;0;Campo Novo//marketplace;0;0;0;0;0;0
0;0;0;Campo Novo//pharmacy;0;0;0;0;0;0
0;0;0;Campo Novo//gas_station;0;0;0;0;0;0
0;0;0;Cascata//home;13013;0;13013;0;-13013;13013
0;0;0;Cascata//work;0;0;0;0;0;0
0;0;0;Cascata//school;0;0;0;0;0;0
0;0;0;Cascata//marketplace;0;0;0;0;0;0
0;0;0;Cascata//pharmacy;0;0;0;0;0;0
0;0;0;Cascata//gas_station;0;0;0;0;0;0
0;0;0;Cavalhada//home;29299;0;29299;0;-29299;29299
0;0;0;Cavalhada//work;0;0;0;0;0;0
0;0;0;Cavalhada//school;0;0;0;0;0;0
0;0;0;Cavalhada//marketplace;0;0;0;0;0;0
0;0;0;Cavalhada//pharmacy;0;0;0;0;0;0
0;0;0;Cavalhada//gas_station;0;0;0;0;0;0
0;0;0;Cavalhada//shopping_mall;0;0;0;0;0;0
0;0;0;Centro//home;39154;0;39154;0;-39154;39154
0;0;0;Centro//work;0;0;0;0;0;0
0;0;0;Centro//school;0;0;0;0;0;0
0;0;0;Centro//marketplace;0;0;0;0;0;0
0;0;0;Centro//pharmacy;0;0;0;0;0;0
0;0;0;Centro//gas_station;0;0;0;0;0;0
0;0;0;Centro//hospital;0;0;0;0;0;0
0;0;0;Centro//shopping_mall;0;0;0;0;0;0
0;0;0;Chácara das Pedras//home;6668;0;6668;0;-6668;6668
0;0;0;Chácara das Pedras//work;0;0;0;0;0;0
0;0;0;Chácara das Pedras//school;0;0;0;0;0;0
0;0;0;Chácara das Pedras//marketplace;0;0;0;0;0;0
0;0;0;Chácara das Pedras//pharmacy;0;0;0;0;0;0
0;0;0;Chácara das Pedras//gas_station;0;0;0;0;0;0
0;0;0;Chapéu do Sol//home;2913;0;2913;0;-2913;2913
0;0;0;Chapéu do Sol//work;0;0;0;0;0;0
0;0;0;Chapéu do Sol//school;0;0;0;0;0;0
0;0;0;Chapéu do Sol//marketplace;0;0;0;0;0;0
0;0;0;Chapéu do Sol//pharmacy;0;0;0;0;0;0
0;0;0;Chapéu do Sol//gas_station;0;0;0;0;0;0
0;0;0;Cidade Baixa//home;15379;0;15379;0;-15379;15379
0;0;0;Cidade Baixa//work;0;0;0;0;0;0
0;0;0;Cidade Baixa//school;0;0;0;0;0;0
0;0;0;Cidade Baixa//marketplace;0;0;0;0;0;0
0;0;0;Cidade Baixa//pharmacy;0;0;0;0;0;0
0;0;0;Cidade Baixa//gas_station;0;0;0;0;0;0
0;0;0;Coronel Aparício Borges//home;19303;0;19303;0;-19303;19303
0;0;0;Coronel Aparício Borges//work;0;0;0;0;0;0
0;0;0;Coronel Aparício Borges//school;0;0;0;0;0;0
0;0;0;Coronel Aparício Borges//marketplace;0;0;0;0;0;0
